tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,fondoOrigen,prePensionado,institucionPublica,condecoracion,hijosInpec,familiaPolicia,observacionDisciplinaria,numeroSemanas,declaraRenta
DCU,2617287589,Manuela Perez,16111920,7,28,37,55,2,1,6,0,0,1,1,550,1
EIS,0455587399,Melissa Murillo,03092004,51,89,24,97,2,1,6,0,0,1,0,968,1
TI PV,4042450117,Daniela Rodríguez,04041976,46,12,66,78,2,1,5,0,0,0,1,925,0
CC DIG,2260585391,Sofía Castaneda,05011926,41,45,36,44,4,0,5,1,1,0,0,790,0
ANI,9935093418,Ana González,26122009,30,22,64,1,2,1,2,1,1,1,0,154,0
SITAC,1578310273,Ana Hurtado,06051940,42,41,28,54,4,1,4,1,1,0,1,997,1
MTR,7120199524,Gabriela Hurtado,07041927,51,43,86,26,1,0,3,0,0,1,0,313,0
ABIS,7642975177,David Cifuentes,08081960,64,93,79,77,1,0,4,0,1,1,0,839,1
EIS,0010371420,Melissa García,19051964,85,77,39,38,2,1,6,1,1,1,1,731,1
MTR,2716142873,Luis López,14122000,74,15,41,44,2,1,2,1,1,0,1,714,0
MTR,8582276224,Daniela Castaneda,13011940,82,83,98,8,6,1,4,1,0,1,1,369,1
CCT,1464729948,Luis González,07101956,88,28,53,28,5,0,1,0,0,0,0,505,1
CC DIG,9938904567,Daniela Cifuentes,25012008,8,47,53,36,4,1,6,1,0,0,0,9,0
NIP,5314326341,Melissa Cartagena,01061972,92,2,63,86,1,0,2,1,0,0,1,917,1
ABIS,6201467574,Ana Cartagena,25021944,68,11,73,40,6,0,3,0,0,0,1,476,0
TI,0767698949,Manuela Cartagena,21011948,18,42,24,45,5,0,2,0,0,0,1,288,1
TI DUP,4661766114,María Perez,14121982,92,20,43,12,2,1,6,1,0,0,1,52,1
CC REC,2522300747,Ana López,06081991,20,11,28,68,4,1,6,1,0,1,0,743,0
HLED-WEB,6538001073,Miguel Castaneda,27111971,25,84,67,21,3,1,3,0,1,1,1,703,1
EIS,6051526648,Manuela Murillo,12011988,89,73,65,87,6,0,2,0,0,1,0,944,1
CC PV,5419075246,Sofía Cifuentes,19111991,3,55,67,85,2,1,4,0,1,1,1,588,1
TI PV,6314891395,Miguel Hernández,24111968,61,93,10,73,3,0,6,1,1,1,1,887,0
EIS,0282933722,Marcela Martínez,27011928,54,32,48,83,6,1,1,1,1,0,1,139,0
TI DUP,9322538304,Luis Cifuentes,22011940,95,18,26,60,3,1,2,1,0,0,0,267,1
EIS,6033044114,María Hernández,22101969,34,85,17,99,3,1,5,0,1,0,0,382,0
TI REC,3234384908,Miguel Murillo,13101938,11,97,93,77,1,1,5,1,0,1,0,276,1
TI PV,9655995889,Melissa Cifuentes,22041947,55,15,20,93,2,0,6,1,1,0,1,583,1
AFIS,0070485765,Juan Castaneda,07092000,63,100,26,69,6,1,6,1,1,0,0,277,1
ABIS,6300075072,Gabriela Rodríguez,23121964,30,34,69,44,3,1,6,0,1,0,0,718,0
MTR,0073174084,David García,27082000,27,2,93,58,2,1,1,1,1,0,0,801,0
CC REN,7500205484,Miguel Hernández,22092000,4,95,99,57,5,1,5,0,0,1,0,841,0
ANI,6291227652,David González,13101960,72,73,47,1,6,1,3,1,0,0,1,242,1
CC DUP,6095004403,Ana Martínez,26101964,31,97,12,100,4,1,1,0,0,0,0,126,0
DCU,1838586710,Juan Murillo,13061926,12,11,27,76,4,1,2,0,0,0,0,178,1
CC REC,4558417706,David Cartagena,23031941,23,42,32,55,4,1,6,0,0,1,0,733,0
TI,0331111484,María Hernández,08121957,46,50,78,33,1,1,6,1,0,0,1,976,0
TI REN,2023017818,Carlos Rodríguez,08081948,18,11,36,58,5,0,6,0,1,1,0,770,1
NUIP,1200024679,Laura Hurtado,19011999,46,57,10,90,1,1,5,1,1,1,1,12,0
TI REN,4877832409,Melissa Hurtado,05031974,23,43,56,13,6,1,1,0,1,0,1,632,1
ANI,9813935099,Marcela López,27011956,15,15,32,90,2,0,3,1,0,0,0,817,0
SIC,0996459159,Marcela Hernández,24052009,47,96,12,71,6,1,5,0,1,0,0,885,0
CC REC,3347679937,Manuela Hurtado,03051980,53,67,40,33,4,0,1,1,1,0,1,539,0
SITAC,0085687265,Sofía López,17112009,52,66,41,89,3,1,5,0,0,1,0,412,1
CC,5870034970,Carlos Hurtado,21091961,58,74,22,47,3,1,6,1,1,0,1,256,1
SITAC,6338774871,Sofía Martínez,17031929,10,19,69,62,6,1,1,0,1,1,0,259,1
NUIP,9253017301,Miguel Martínez,16071952,61,16,43,88,4,0,3,1,1,0,0,44,0
AFIS,4547843114,Ana Hurtado,24041930,100,17,78,9,4,1,5,1,1,0,1,360,1
TI REC,0565195847,Ana Martínez,09061941,32,60,83,38,5,1,5,0,1,0,0,484,0
CC DIG,6654893638,Laura Rodríguez,06111929,5,72,70,42,3,0,1,0,1,1,0,676,1
SITAC,4267445510,Marcela Rodríguez,25022001,56,58,27,23,5,0,3,1,1,1,0,761,0
DCU,4681831728,Luis Cartagena,23071917,37,52,45,63,3,1,4,1,0,1,1,299,0
DCU,6685126014,Miguel Cifuentes,12051985,23,29,46,45,1,0,1,0,1,1,1,225,0
TI REC,2865863182,María Cartagena,13071987,82,28,19,37,6,1,1,0,0,1,1,802,1
CC PV,0141131641,David González,04021935,96,42,58,97,4,0,6,0,1,1,0,324,1
TI REC,1153365134,Carlos Rodríguez,14111987,42,89,35,28,1,1,3,1,1,0,1,693,1
