tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,fondoOrigen,prePensionado,institucionPublica,condecoracion,hijosInpec,familiaPolicia,observacionDisciplinaria,numeroSemanas,declaraRenta
TI REC,9599511183,Ana González,03102009,83,39,55,12,2,1,5,0,0,1,1,277,0
CC DUP,5292590306,David Rodríguez,10101935,61,9,65,74,1,0,6,0,1,0,1,866,0
TI REN,9095592511,Carlos Hurtado,06071996,36,26,84,28,1,0,5,1,0,0,1,928,1
NUIP,5940115389,Juan Cifuentes,22101934,87,93,62,14,6,0,6,1,0,1,1,897,1
CC PV,2633850480,Gabriela Hurtado,11051950,70,2,73,18,3,1,1,0,1,1,1,605,0
TI,4704336734,Ana Hurtado,27041965,58,45,8,68,5,1,5,1,1,0,1,137,1
CC DUP,8752812645,Miguel Perez,18061939,89,62,51,84,1,1,1,0,0,0,0,944,0
TI PV,7151165195,Miguel Hernández,01061943,31,82,13,86,3,0,1,0,1,0,0,58,0
TI REN,9422072991,Laura Hernández,25041953,12,63,32,91,2,0,1,0,1,0,1,715,0
TI DUP,1700587976,María Hurtado,04021978,24,86,11,3,2,0,3,0,0,0,0,740,0
TI PV,4429203798,David García,02032021,69,42,12,93,2,1,5,0,1,0,0,377,0
CCT,2871244680,Laura Perez,05041989,84,45,32,13,4,1,2,0,0,0,0,557,0
ABIS,4715402140,Juan Hernández,17051927,94,64,47,52,1,1,3,1,1,0,0,500,1
CC REN,0687035707,Ana Hernández,17091937,71,14,3,66,5,1,5,0,1,1,0,300,0
SITAC,8927873996,Marcela Castaneda,01031999,67,44,15,25,2,1,1,1,1,1,0,868,1
CC DIG,3503147904,Gabriela García,14091946,84,43,11,83,1,0,1,1,0,1,0,851,0
AFIS,8375279537,David Martínez,11071969,13,44,70,21,4,1,4,1,0,0,0,93,0
SITAC,3429623961,Daniela González,16091936,26,34,84,56,3,1,1,0,0,0,0,675,0
CCT,3835156365,Daniela Hurtado,03101987,36,2,57,37,1,1,3,1,1,1,1,881,0
HLED-WEB,3451494569,Ana Hurtado,24101964,67,2,63,14,3,1,6,0,0,1,1,400,0
CC REN,0335964960,Miguel Murillo,04081955,33,74,91,82,2,0,3,0,1,0,0,461,1
CC DUP,6303543701,Manuela García,03081943,96,2,24,21,3,1,1,1,1,0,0,65,0
NUIP,2830842335,María Perez,03091978,32,18,64,23,4,1,3,1,1,1,1,402,1
CCT,8735364902,David Martínez,19121930,96,41,75,29,4,1,4,1,1,0,1,828,1
TI PV,3139806821,Miguel Perez,07051943,23,30,7,47,4,0,4,1,0,0,1,657,0
CC REC,4214591521,Carlos Rodríguez,23011982,29,44,7,91,6,0,6,1,1,0,1,363,1
ANI,1973747578,Sofía Cartagena,24031927,28,61,54,17,1,0,6,0,0,1,1,207,0
EIS,0014086426,David Hurtado,14081980,28,76,61,13,3,1,6,0,0,0,0,296,1
CC DIG,0991312012,Melissa Cifuentes,26071987,64,19,8,31,1,0,1,0,1,0,0,500,1
TI REC,0712762602,Marcela Martínez,03011966,15,74,25,92,2,0,1,1,1,1,1,830,1
NUIP,6217953593,Manuela López,10042020,28,39,36,50,3,0,6,0,0,1,1,909,1
SITAC,1484523688,Carlos García,07091945,94,65,68,96,1,0,6,1,0,0,0,486,0
SIC,2239318631,Juan Perez,01101940,32,28,16,1,5,0,3,0,0,0,1,617,1
ANI,9925093061,Gabriela García,20081951,95,64,90,53,4,1,4,0,0,1,0,891,1
CC,8809580996,Gabriela González,11111955,64,3,55,63,2,0,3,1,1,0,0,102,0
TI REC,9425997201,Laura Murillo,13121948,2,54,83,81,5,0,6,0,0,1,1,985,0
TI REC,3220843746,Juan Perez,10061935,45,41,90,67,6,0,2,1,1,1,0,863,0
CCT,8412607614,David Cartagena,20071995,55,49,49,69,1,1,5,1,1,0,0,108,1
SITAC,5031166881,Ana Hurtado,22061930,65,10,96,36,5,0,3,1,1,0,0,22,1
MTR,9829681968,Ana Castaneda,17021975,47,44,52,94,6,1,4,0,0,1,0,434,0
TI,5008354366,Juan Rodríguez,18021955,30,30,74,27,4,0,4,0,1,1,0,584,1
TI DUP,5202695479,Juan Cifuentes,23081927,7,40,89,72,6,0,1,0,1,0,1,715,0
CC REN,1713724916,Laura Perez,03052005,44,15,64,3,1,1,1,1,1,1,0,255,1
CCT,9481481739,Ana Castaneda,27061967,32,14,87,57,6,1,5,1,0,0,0,371,0
SITAC,7865421451,Laura López,04091971,87,76,83,47,6,0,3,1,1,1,1,318,1
TI,9675932710,Miguel Rodríguez,15061981,16,79,25,96,2,0,4,1,0,0,0,843,1
CC REC,4280115632,Carlos Cartagena,03121952,30,87,47,60,2,0,3,0,1,1,1,106,0
NIP,1407150438,David Rodríguez,18041956,66,74,62,99,5,0,4,1,1,0,0,758,0
SIC,9416357208,Manuela Murillo,25081936,90,4,9,57,3,1,2,0,1,1,1,219,0
TI DUP,6380573165,Luis Martínez,02021927,20,20,34,98,6,0,6,1,1,0,0,799,0
TI DUP,3954502378,Sofía Castaneda,08061985,61,15,38,54,4,1,1,1,0,1,1,291,0
TI PV,6662124244,Sofía García,06011945,21,37,71,48,3,1,1,0,0,1,1,310,1
TI DUP,9625365254,Luis Hurtado,01061998,85,52,24,68,3,1,6,0,0,1,1,371,1
CC DIG,1765798126,Gabriela Cartagena,17071968,8,8,100,66,6,0,4,1,1,1,0,71,0
CC DUP,0340794204,Carlos Cartagena,19051926,44,24,29,85,4,0,6,0,1,1,0,568,1
TI,8737772668,Melissa Castaneda,16011941,37,69,57,19,4,1,3,1,1,0,0,951,0
SIC,9401078423,María Martínez,24021999,43,100,16,87,2,0,2,0,1,1,1,968,0
SIC,7666791991,Miguel Murillo,20051936,19,91,14,5,5,1,1,1,0,0,0,947,0
CC,3042349776,David Castaneda,06071931,19,70,39,48,1,0,2,1,1,0,0,30,0
SIC,6790154497,Melissa García,21081948,24,49,91,62,2,1,4,1,1,0,1,568,0
CC DIG,1908952118,Carlos Perez,04101932,26,2,7,48,6,1,5,1,1,1,1,122,1
ABIS,4377638053,Luis Murillo,21081928,1,47,67,12,5,0,4,1,1,0,0,520,1
TI,8776953698,Melissa Hurtado,01051939,17,89,6,91,6,0,6,1,1,0,0,296,1
AFIS,4172786084,Laura Murillo,11091961,74,98,50,8,3,0,5,0,1,0,0,917,1
SIC,7649774880,Manuela Perez,07061958,70,27,5,56,5,1,4,0,1,1,1,713,0
CC DIG,0033967639,David Rodríguez,28111997,53,93,83,17,6,1,6,1,0,1,1,710,1
CCT,2781989431,Sofía González,28082002,86,9,22,79,5,0,3,0,0,1,1,917,1
TI PV,8792839723,María Castaneda,19061976,84,4,22,55,2,1,2,0,0,1,0,499,0
SIC,6575946382,Carlos Perez,17091999,44,83,4,51,3,1,2,0,0,1,0,409,0
TI,1114734562,Juan López,28011987,95,86,6,31,4,1,5,1,0,0,1,251,0
CC DUP,8487883509,Carlos Rodríguez,23051923,57,21,77,37,1,1,3,1,1,0,0,708,1
CC DIG,2967196228,Melissa Murillo,09091925,82,8,65,19,1,0,4,0,0,1,0,4,0
MTR,3894949653,Carlos Cartagena,25041974,2,64,39,55,3,1,6,1,1,0,0,226,1
TI,6817658471,Gabriela García,16111983,54,37,27,51,1,1,6,0,0,1,0,225,1
CC PV,2776593411,Ana Murillo,18051978,19,62,58,85,1,1,6,0,0,1,0,511,1
CC DIG,7232273770,Miguel García,12031984,16,72,9,33,2,0,2,0,1,0,0,138,0
HLED-WEB,1374419353,Melissa González,17041934,34,87,10,70,1,1,1,1,1,1,1,641,1
CC,1091890485,Melissa González,21021971,54,17,12,75,5,0,5,0,0,1,1,188,0
CC DIG,9964552824,Miguel González,09011983,67,30,7,51,6,1,5,1,0,0,0,466,0
CCT,9718198772,Ana Hurtado,26071945,25,26,80,65,3,1,5,1,0,0,0,735,0
TI DUP,6282330815,Ana Murillo,16061998,27,23,40,9,4,0,5,0,0,1,0,446,0
SIC,2271444016,Marcela Cartagena,08061984,87,70,99,63,6,0,1,0,1,0,1,415,1
HLED-WEB,8802413436,Manuela García,07041996,89,28,10,53,3,1,6,0,0,0,0,632,0
ABIS,6734448694,Marcela Hernández,19061980,76,75,70,70,6,0,5,1,1,1,1,178,0
TI,0232172654,Ana Castaneda,12101964,7,19,89,27,4,0,2,0,1,1,1,946,0
CCT,2336501868,Luis López,09031987,18,53,54,13,6,1,5,0,1,1,0,997,0
CC PV,1037300138,Laura Cartagena,18041986,39,91,28,78,6,1,2,1,0,1,1,784,1
ABIS,6325698502,Daniela López,20101948,43,87,14,16,6,1,4,1,0,1,1,581,1
DCU,5831101711,Sofía Cartagena,17062003,84,39,59,95,4,1,3,1,0,1,0,709,1
NIP,3971282022,Miguel Rodríguez,26061941,24,99,13,31,5,1,4,0,0,0,0,861,1
NIP,9947883753,Miguel Perez,12081914,90,12,48,14,5,1,4,1,1,1,1,552,0
CC REN,0176540997,Miguel Castaneda,08092005,46,58,49,92,1,1,2,1,1,1,0,634,0
CCT,3007343826,Sofía Rodríguez,13021928,83,99,63,47,3,0,2,0,1,1,1,163,0
CC REC,8019364866,Luis López,22071966,45,64,5,31,4,0,2,1,1,1,1,133,1
CC DUP,4553347850,Luis González,09031950,66,85,14,38,4,1,5,1,0,1,1,527,0
TI PV,4852553892,Marcela Martínez,10121927,96,25,45,45,4,0,4,1,0,0,1,654,0
NUIP,9900866967,Miguel González,09111969,54,8,77,74,2,1,6,1,0,1,0,529,1
ABIS,7987672854,Sofía Cifuentes,21041936,34,97,19,12,1,0,4,0,0,1,1,864,0
ANI,2031551064,Luis Hurtado,11061933,90,16,8,74,5,0,3,0,0,1,0,816,1
MTR,1006566865,María Murillo,01101962,1,23,50,63,6,0,1,1,0,1,1,805,1
