tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,fondoOrigen,prePensionado,institucionPublica,condecoracion,hijosInpec,familiaPolicia,observacionDisciplinaria,numeroSemanas,declaraRenta
TI,5486120503,David Cartagena,24121974,42,55,83,19,2,0,6,1,0,1,1,256,0
DCU,6318035683,David Cartagena,17061993,46,25,55,94,2,1,2,1,1,1,1,137,1
SITAC,2910187777,Gabriela Murillo,07021966,69,79,50,12,6,1,1,0,1,0,1,666,1
TI,0436109598,Juan Rodríguez,18081933,45,23,60,79,2,1,1,1,1,0,1,600,0
CCT,8491448391,David Perez,28121936,94,87,15,12,4,0,6,1,1,0,1,135,1
TI DUP,6840962365,David Martínez,16101960,92,62,79,23,4,0,5,1,1,0,1,372,1
CC REN,4987368191,Juan Cifuentes,05051985,68,28,88,13,6,1,2,1,0,0,0,723,0
CC REN,5697044181,David Murillo,24041955,16,80,51,52,3,0,1,1,1,0,1,112,1
TI DUP,6365305391,Luis García,03061926,73,38,75,59,2,0,5,0,0,0,0,455,1
TI PV,3761355833,María García,03052003,31,1,21,30,2,0,6,1,0,0,0,413,0
TI DUP,0039316068,Daniela Martínez,17111957,17,62,60,92,1,1,5,0,1,1,0,580,1
CC REN,3292655495,Miguel López,18091924,28,50,30,56,6,1,2,1,0,1,0,529,1
TI,6501683023,Carlos García,26061927,61,97,90,43,1,0,3,0,0,0,0,643,1
TI,0775574724,Manuela García,19101954,50,74,30,89,4,0,5,1,0,1,1,815,0
CC,2708513717,Juan García,10121981,26,39,74,94,1,1,6,1,0,0,1,11,1
NIP,7959228446,Sofía Perez,07011929,52,90,52,69,6,1,6,0,0,1,0,339,0
NIP,4012396449,Melissa Murillo,16041965,9,92,77,44,6,0,4,0,1,0,0,736,0
HLED-WEB,1438671410,David Castaneda,27111940,71,97,9,73,5,0,6,1,0,1,1,493,1
TI REC,3649942433,Carlos Rodríguez,10061955,46,60,45,63,5,1,4,0,0,1,0,390,0
NIP,9704968539,Carlos Cifuentes,13021985,37,67,28,80,5,1,6,0,0,1,0,967,0
CC,7531889829,Miguel López,13071979,47,30,43,53,2,1,4,0,1,0,0,785,0
CC DUP,3727733597,Miguel Castaneda,02032006,15,70,54,22,4,0,2,1,1,1,0,452,1
CC,2239956279,Juan Hurtado,13051930,90,80,57,79,5,0,6,0,1,0,1,875,1
SIC,5971969392,Manuela Murillo,07091940,8,70,46,54,6,1,6,1,0,1,0,897,1
ANI,4631133953,Juan Murillo,15081965,59,73,91,98,5,0,4,1,0,0,0,854,0
DCU,7136104441,David López,23061968,26,20,5,5,3,0,2,1,1,0,0,39,0
MTR,6339154283,Juan Rodríguez,23091934,94,81,14,51,5,1,6,1,1,0,1,375,0
CC REN,9698453753,Gabriela Cifuentes,12041981,53,81,88,37,2,1,4,1,1,1,1,810,1
SIC,5200934815,María González,02061948,42,44,97,42,3,1,5,0,0,0,0,257,0
SITAC,8070687987,Luis García,10052000,32,21,37,3,5,0,3,0,0,1,0,715,0
CC,6195725871,Juan López,17041990,91,3,13,46,3,0,1,0,0,0,0,25,0
NIP,9665314983,Juan Cifuentes,23101936,6,13,100,6,2,1,6,1,1,1,0,932,1
SIC,9051728585,Luis García,11011965,88,54,74,95,2,1,4,1,0,1,0,719,0
ABIS,5371705074,David López,16061973,95,64,51,44,4,0,6,1,1,1,0,770,0
TI,2158993162,Sofía Martínez,20121948,93,92,80,74,5,1,3,0,0,1,1,402,0
TI DUP,2307876110,Ana Cifuentes,06021982,75,67,61,84,5,0,1,0,1,1,0,711,0
TI,8301943294,David Hernández,05011963,31,45,37,15,2,1,1,0,1,1,1,209,0
TI REC,4055483387,Gabriela Cartagena,20041979,82,29,64,67,3,0,3,1,0,1,0,316,1
EIS,1199206989,Juan Cartagena,03091983,62,97,72,70,1,0,3,0,1,1,0,412,1
TI PV,6599628380,María Cifuentes,14081935,62,42,96,79,2,0,6,1,0,1,0,296,1
CC REN,8468875226,Daniela Perez,17112016,89,79,83,12,6,0,3,0,1,0,0,44,1
CCT,1901844396,Marcela Castaneda,17061929,71,23,77,74,5,1,2,0,1,0,1,264,0
SIC,7858091357,Gabriela Cartagena,15121932,47,36,3,53,4,1,2,1,0,0,1,675,0
MTR,9617585904,Juan Martínez,17121996,90,30,53,10,2,0,2,0,0,0,1,959,0
MTR,7190798509,Juan Hernández,01111958,20,25,88,58,4,1,1,1,1,1,0,43,0
CCT,6836758961,Marcela García,04091968,25,88,41,64,4,0,1,1,1,1,1,890,0
ANI,3789383596,Luis García,09071950,47,18,85,45,1,0,1,0,0,1,0,69,1
TI REC,7786225336,María Cartagena,11081936,21,60,34,28,4,1,5,0,0,1,1,825,1
DCU,6948787206,Laura González,20091956,98,34,96,69,4,1,4,1,1,0,1,175,1
ANI,9829622744,Ana Castaneda,11081997,40,42,97,34,3,1,1,1,1,1,0,310,1
CC PV,1214662326,Sofía Hurtado,23101971,94,56,75,26,3,0,4,0,1,1,1,34,1
TI REN,4941899232,Carlos Rodríguez,03092007,53,71,31,6,4,1,5,0,1,0,0,403,0
TI DUP,0752337122,Miguel Hurtado,25031999,63,95,48,62,1,0,3,1,1,0,1,423,1
NUIP,8245891292,Gabriela López,24031949,85,98,68,39,6,1,5,1,1,0,1,81,1
ABIS,0566444343,David Cartagena,19031958,23,9,34,62,5,1,1,1,1,1,1,720,1
TI DUP,5345535491,Gabriela Murillo,14061962,57,85,61,34,5,0,2,0,0,0,0,750,1
AFIS,0445843435,Melissa Castaneda,18121992,23,10,34,80,6,1,1,1,1,1,1,3,0
TI DUP,9662183518,Melissa Perez,28121992,54,38,53,47,2,0,2,0,0,1,0,376,1
TI REN,3409156154,Laura Hurtado,26021966,66,27,79,46,5,0,3,1,1,0,0,335,0
CC DIG,2693881662,Manuela Cartagena,23101976,81,27,82,23,5,0,6,1,0,0,1,154,1
