tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,fondoOrigen,prePensionado,institucionPublica,condecoracion,hijosInpec,familiaPolicia,observacionDisciplinaria,numeroSemanas,declaraRenta
TI REN,8758270681,David González,15061948,4,51,35,93,5,1,5,0,0,0,0,683,1
CC DUP,4736666926,Juan López,14042009,62,74,79,41,6,0,4,1,1,1,1,580,1
CC DIG,5064396082,Marcela González,26071985,66,89,65,16,3,0,1,0,0,0,1,529,0
CC,1400878504,Marcela Cifuentes,23042006,33,79,15,22,5,1,3,0,1,0,0,507,1
CC REN,5468626604,Miguel García,15041969,53,32,98,10,6,1,4,0,0,1,1,610,0
TI REN,0196500081,Daniela Cartagena,18012007,30,66,69,3,2,1,5,1,0,1,1,829,0
AFIS,0260105384,David Hurtado,01101945,15,29,89,1,3,0,2,1,1,1,1,581,1
CC REC,7527707268,Ana González,18081931,68,83,99,60,4,1,4,1,0,0,0,275,1
SITAC,7470491029,Gabriela Murillo,21091973,67,2,23,68,4,0,6,1,1,1,0,977,0
AFIS,4708873463,Melissa Martínez,13061960,57,91,66,61,4,0,4,0,0,1,1,719,1
NIP,6518286349,Marcela García,14051905,86,54,78,98,1,0,3,1,1,1,0,232,0
CC PV,2577425527,Sofía Cifuentes,16111935,99,26,53,32,2,1,1,1,0,0,1,969,1
NIP,1240028623,María Perez,27081985,70,11,10,70,5,1,2,1,0,0,0,350,1
ANI,7454904226,Manuela García,04081994,52,63,57,24,5,1,1,1,1,0,0,624,0
CC PV,3543777898,Carlos Rodríguez,05061931,87,98,74,40,3,1,2,0,0,0,0,577,1
CC REN,2692927490,David Hernández,11051993,20,26,59,51,5,1,2,1,0,0,0,138,0
AFIS,1693335278,María Martínez,08071957,53,82,54,21,5,1,6,0,1,1,0,885,0
TI DUP,8911842467,Carlos Hernández,28051998,51,99,23,27,6,0,3,0,1,0,0,638,1
HLED-WEB,9705302561,Laura Murillo,27111989,68,59,87,65,1,0,6,0,1,0,1,163,0
TI PV,3788493548,Laura Martínez,28101998,16,33,52,75,4,0,1,1,1,1,0,573,0
TI REC,5868845675,Miguel García,28101961,14,53,35,89,3,1,1,0,0,0,1,455,0
AFIS,1186925228,Gabriela Cartagena,26011925,53,90,92,24,5,1,5,0,1,0,0,61,1
EIS,6140450038,Laura García,12011977,34,61,70,90,6,1,3,0,1,1,0,115,0
CC DIG,1070386867,Marcela Cartagena,13061982,26,70,40,83,4,1,5,1,1,1,1,1000,1
HLED-WEB,3091061240,Sofía Cifuentes,14121940,91,69,71,10,4,0,4,1,0,1,1,342,1
TI PV,9478898786,Manuela Cartagena,22082001,95,91,80,15,4,0,6,1,0,1,0,854,1
