tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,fondoOrigen,prePensionado,institucionPublica,condecoracion,hijosInpec,familiaPolicia,observacionDisciplinaria,numeroSemanas,declaraRenta
SIC,7942659509,Laura García,03011921,37,81,11,92,1,1,5,0,1,0,1,469,1
ANI,3838666146,Sofía Perez,13021995,43,99,49,78,6,1,6,0,0,0,1,933,1
SITAC,8241619098,David Perez,17091965,14,63,99,90,4,0,3,0,1,1,1,331,0
CC DUP,5165144916,Marcela Martínez,17061931,11,62,64,34,1,0,1,0,1,0,1,656,0
MTR,8287327337,Daniela Hernández,18062002,50,71,37,84,2,1,3,0,0,1,0,654,0
AFIS,1135851010,Carlos Hernández,12011963,2,56,18,11,6,1,1,0,1,0,1,657,1
CC REN,4978820233,David Martínez,23041959,45,60,51,46,4,1,3,0,0,1,0,96,1
CCT,4632107551,Daniela González,12041961,20,68,62,17,1,0,4,0,1,0,1,915,1
SIC,4794282118,Marcela Perez,18091935,27,32,15,67,5,0,1,0,1,0,1,853,1
CCT,7709131174,Laura Perez,15111947,8,10,81,78,5,1,5,0,1,0,1,126,0
CC,0026404443,Daniela Hurtado,09071932,93,56,5,16,3,0,6,1,1,1,0,340,1
CC,8046616508,Laura García,10061983,73,63,62,83,4,0,5,0,1,1,0,865,0
MTR,5703852236,Luis Hurtado,24031960,45,86,41,88,1,1,4,1,1,0,0,413,1
CC,6755404229,Miguel Hernández,06061940,49,90,33,11,1,1,3,0,1,1,1,951,0
ANI,0681783427,María García,04071979,34,6,31,97,4,1,1,1,1,1,0,943,0
NIP,6101005359,Ana Murillo,25101939,35,85,9,29,5,0,2,0,0,1,1,516,1
SIC,6368285621,Juan Cartagena,09071996,73,36,1,44,1,1,6,0,0,0,0,278,0
ABIS,5100302339,Marcela Hernández,28071965,78,33,52,50,1,1,1,1,0,0,0,152,0
CCT,0870448232,Juan Cifuentes,08081999,20,47,21,43,4,1,2,0,1,0,1,154,1
TI,2322879206,Ana González,12031942,65,26,1,95,1,1,6,0,1,0,1,487,0
NIP,9237986170,Marcela Martínez,03022003,98,77,4,84,4,1,1,1,0,0,0,902,1
MTR,3880899791,David Cartagena,13021989,22,93,99,53,1,0,4,1,0,0,1,188,1
TI DUP,0812695100,Miguel Cartagena,03071966,91,81,98,33,5,1,6,1,0,1,1,153,0
CC DUP,6133643915,Luis Murillo,25081960,90,20,9,50,3,0,5,1,1,0,0,869,1
CC DUP,9109758259,Ana Cifuentes,08061925,41,91,100,99,6,0,4,1,1,0,0,637,0
TI REN,6594061022,Miguel García,23011949,42,31,63,25,6,1,4,0,1,0,0,56,1
CC PV,8285292050,Sofía Cifuentes,27011964,62,23,7,95,3,1,1,1,0,1,0,375,0
TI PV,4047777126,Luis Martínez,06061951,11,67,96,4,3,1,1,1,0,0,1,393,1
NIP,4005327222,Melissa González,15102000,55,22,85,26,5,1,1,1,0,0,1,516,0
MTR,7284471464,María Hernández,20061930,62,18,81,81,1,0,3,0,1,0,0,52,1
CC,6347215300,María Hernández,28081927,23,35,2,96,3,1,3,1,0,0,1,877,0
CC REN,4872809362,Luis González,06102001,76,7,34,2,2,0,1,0,1,0,1,449,0
CC PV,9200593135,Manuela González,03051972,64,97,71,28,3,1,1,0,1,0,1,689,0
TI,8907213840,Marcela Hernández,13061983,17,72,19,30,4,0,1,1,0,0,0,769,0
SITAC,9973815789,Carlos López,12041992,70,32,98,45,6,0,3,0,1,0,0,671,0
SITAC,6850570799,Manuela Cartagena,17011978,56,65,40,60,4,0,1,1,1,1,0,318,0
AFIS,2977210464,Carlos Hurtado,23021965,98,53,77,26,2,1,4,1,1,0,0,306,1
TI DUP,0952118611,Melissa González,15041949,55,62,95,45,4,0,5,0,0,0,0,661,1
TI,9346107363,Juan Castaneda,21121997,54,14,22,87,5,0,5,0,0,1,0,900,1
CC,1274400760,Juan Hurtado,23081957,41,2,6,42,2,0,1,0,0,1,0,787,1
CC DIG,8892184089,Juan Murillo,03111919,42,11,79,64,6,1,2,0,1,1,0,843,0
SITAC,7994957526,Manuela Cifuentes,03031992,74,18,54,67,4,0,3,0,1,1,1,146,0
SIC,1715525452,Laura Castaneda,13031943,33,99,100,33,4,0,5,0,0,1,0,112,1
TI REC,0089121589,Daniela González,21071924,65,100,11,95,4,0,6,1,1,1,0,583,0
NIP,0816564855,Ana González,23061958,90,8,21,42,5,1,5,1,0,0,1,558,1
HLED-WEB,6265252033,Laura Hernández,21121990,99,72,9,59,4,0,6,0,0,1,1,638,0
AFIS,4084459351,Sofía Hurtado,04071992,59,58,58,11,5,1,5,1,1,1,1,64,0
CCT,1921129793,Daniela Cartagena,13012003,41,64,25,42,4,1,4,1,0,0,1,164,0
SITAC,0057379946,Daniela Hernández,28091956,97,46,95,22,5,0,2,0,0,0,0,935,0
CC REN,8509569243,David Hernández,22091934,43,34,79,14,1,0,2,0,1,0,0,605,0
SITAC,0414063291,Marcela Hernández,19121931,22,32,4,15,6,0,1,0,1,1,1,593,0
NIP,4604966532,Juan González,08092001,17,5,38,85,4,0,4,0,0,0,0,862,1
CC DUP,6451165467,Laura Cifuentes,25072007,76,9,70,78,3,1,2,0,0,1,0,769,0
TI REC,2461346934,Melissa Cifuentes,23081931,51,93,39,100,3,0,4,1,1,0,0,418,1
TI DUP,9424114902,Juan Cartagena,24021991,57,34,89,35,3,1,2,0,1,1,1,829,1
CC DUP,9040927937,Luis Hernández,19051959,9,94,71,86,3,1,2,1,0,1,1,353,1
SITAC,9069655561,Manuela Hurtado,01051969,80,32,53,46,6,0,3,1,0,0,1,536,1
CC PV,9115007711,Ana Perez,06111958,76,54,13,84,6,0,1,1,1,0,0,915,0
TI REC,8288463493,Juan López,27121975,43,30,29,37,2,1,1,0,0,0,0,267,1
ABIS,9114625133,Manuela Murillo,12041975,2,6,23,14,5,1,5,0,1,0,1,922,0
ANI,5326183019,Laura Cifuentes,07101949,38,3,54,37,3,0,5,0,1,0,0,268,1
SITAC,8416887315,Manuela Martínez,16012005,88,70,69,1,3,0,1,1,1,1,1,979,1
CC,4468519091,Juan Castaneda,17061996,28,12,48,48,4,1,3,1,0,0,1,26,1
CC DUP,3633598094,Carlos Martínez,16071940,6,49,8,85,4,1,4,1,1,0,1,951,1
TI PV,9703303621,Gabriela Hurtado,05101944,4,79,48,22,1,1,3,0,0,1,0,952,1
CC REN,5434530207,Ana Cifuentes,09091931,50,42,52,87,5,0,2,0,1,0,0,3,1
CC DIG,6134990334,Miguel López,08021930,74,54,17,79,5,1,4,0,0,0,0,91,1
AFIS,6562167923,Marcela Castaneda,25051991,51,72,28,72,3,0,3,1,0,1,0,210,0
TI DUP,9728867458,Daniela Castaneda,03011926,88,41,21,13,3,0,6,1,0,1,1,876,0
TI REN,4529135648,Luis García,28111954,8,3,91,57,2,1,6,1,0,0,1,489,0
NUIP,8003170658,Juan Cifuentes,15121907,63,37,67,75,4,1,2,0,0,0,1,585,0
NUIP,4133822117,Luis Castaneda,05111959,49,90,7,50,5,1,6,1,0,1,1,704,1
TI,9206851972,María Perez,24041986,26,23,90,39,5,1,3,0,1,1,0,533,0
EIS,4701476223,David Martínez,23051982,81,21,90,2,4,1,1,0,1,0,1,585,1
CC,7936435466,Gabriela González,22111980,3,31,77,21,2,1,4,0,0,1,1,741,0
SIC,5390924731,Luis Murillo,05111952,52,50,33,1,2,0,3,1,0,0,1,303,0
TI DUP,4786408859,Gabriela Hurtado,15071972,39,100,58,27,5,0,4,1,0,0,0,967,0
TI REC,6160048279,Marcela González,04011967,73,88,18,20,1,1,5,0,0,1,1,810,0
SITAC,3000593484,Luis Rodríguez,06031951,21,15,61,98,1,0,5,0,0,1,0,98,0
MTR,7200167891,Luis Cartagena,13121931,2,1,74,68,6,1,5,0,0,0,0,221,1
CCT,2247830883,Luis Cartagena,04101904,21,12,57,60,3,0,1,0,0,1,1,84,1
TI REN,0218717440,Sofía Cartagena,10121944,41,70,58,25,2,0,6,0,0,1,1,609,1
