tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,fondoOrigen,prePensionado,institucionPublica,condecoracion,hijosInpec,familiaPolicia,observacionDisciplinaria,numeroSemanas,declaraRenta
CCT,5116907322,Sofía Castaneda,06021964,61,29,24,64,3,0,4,1,0,1,1,382,1
CCT,4874040837,Daniela Cartagena,13111959,59,77,75,16,5,0,2,0,0,1,1,380,1
SITAC,4456964551,Melissa López,03101925,69,98,31,15,4,1,3,0,0,1,1,497,0
HLED-WEB,3704626628,Carlos Martínez,20031935,33,98,42,22,1,1,5,1,1,1,1,5,1
TI REC,8068097448,Manuela Rodríguez,04121956,77,10,57,41,4,0,4,1,0,1,0,362,1
TI REC,4725873927,Sofía García,25081967,40,57,26,52,3,0,4,1,1,1,0,338,0
TI DUP,1032596883,Luis Perez,20081935,93,66,33,24,5,1,3,0,1,1,1,837,1
NIP,3931926064,Luis Hernández,12101973,16,42,88,18,4,1,5,0,1,0,1,96,1
CC DIG,5793748790,Daniela Rodríguez,22021944,65,71,42,46,4,1,1,1,0,0,0,586,0
TI REC,3467671334,Sofía Castaneda,28031938,76,94,34,38,3,0,4,1,1,0,1,792,1
CCT,0126874476,Luis Hernández,14031981,77,43,65,4,5,0,2,1,0,0,0,23,1
DCU,9093819871,David Castaneda,11031958,22,98,2,99,1,1,2,1,1,0,1,631,1
CC,0209852901,Miguel Hernández,28111968,66,65,33,6,2,0,5,1,1,1,0,964,0
CCT,7174101102,Gabriela García,14121930,8,43,84,18,1,1,1,1,0,0,1,129,1
CC REC,5168060360,María Hurtado,09061965,36,97,11,2,4,0,3,1,1,0,0,540,0
ANI,1012779561,Miguel González,05051931,94,79,26,25,4,1,5,0,0,1,0,564,1
CC DUP,5201933454,Juan Castaneda,07011936,10,91,66,32,4,0,1,0,0,1,1,654,0
EIS,8669944805,María Rodríguez,26092000,39,96,87,94,5,0,6,0,1,1,1,874,1
MTR,0792501903,Daniela Rodríguez,24072002,67,88,63,43,4,0,4,0,1,0,0,678,0
CC REN,4005219590,Gabriela López,24051965,12,89,68,11,2,1,3,0,1,1,1,190,1
TI REC,8896827859,Laura Murillo,18041912,42,16,53,45,4,0,1,0,0,1,1,363,0
CC REN,2674500256,Juan Castaneda,14071973,68,46,34,99,4,1,3,1,1,0,1,493,0
SIC,7321381257,Melissa López,26031980,81,48,80,22,5,1,3,1,1,1,1,151,1
AFIS,7505670090,Laura Hurtado,18051963,93,86,87,5,2,0,6,0,1,0,0,887,1
CC DIG,9433337531,María Cartagena,10101951,84,71,28,38,4,0,1,1,0,0,1,498,0
SITAC,5209502379,Daniela García,14051929,95,75,39,86,1,0,2,0,1,1,0,792,1
TI PV,9950966915,Melissa Murillo,21031993,100,53,63,75,6,0,4,1,0,0,1,146,0
TI REC,5509629333,Melissa González,22111992,56,88,64,21,2,1,3,1,1,1,1,962,0
TI DUP,4297032071,Carlos López,27071976,19,38,76,78,1,0,2,0,0,1,0,941,0
CC DUP,7191048556,Daniela Castaneda,03081934,72,29,73,11,5,1,5,0,1,1,1,195,1
CC DUP,5856387005,Sofía Hernández,16051985,98,96,27,19,1,1,4,1,1,1,0,382,0
CC,3664185433,Marcela Hurtado,15041987,89,47,65,60,5,1,1,1,0,1,0,194,0
ANI,5241998956,Ana Perez,16051936,18,49,81,65,3,1,5,1,0,1,0,157,1
TI DUP,0809078035,Sofía Hurtado,28111951,96,10,60,48,2,0,2,0,0,1,1,888,1
CC DIG,6848675438,Ana Hernández,01051983,30,25,29,6,6,1,2,1,0,0,1,896,0
SIC,6972016554,Manuela López,13071939,61,86,74,95,2,1,2,0,1,1,1,988,1
NUIP,8536996653,Miguel Murillo,07091988,42,7,59,31,2,0,5,0,0,0,1,408,0
CC DUP,0474503248,María Martínez,07111945,40,9,94,51,4,0,6,0,0,1,0,276,1
TI PV,2490477396,Carlos García,19111934,83,33,28,72,2,0,3,1,1,0,0,644,1
CC REC,3987983496,Ana Cartagena,09111930,66,52,94,97,5,0,6,0,1,1,1,693,1
SIC,4110495422,Miguel Martínez,17051922,1,87,37,64,2,1,5,0,1,0,0,355,1
TI REC,1112835820,Miguel López,09122006,91,60,33,58,1,0,6,1,1,1,1,275,0
CCT,2700189958,María Rodríguez,15101999,32,12,71,78,3,0,1,0,1,1,0,416,0
CCT,9068641173,Juan Perez,08042002,54,68,85,18,1,0,5,0,0,1,1,663,1
SITAC,5398268641,Juan Martínez,14091971,8,51,92,41,4,1,3,0,0,1,0,795,0
SITAC,1801862385,Miguel Hernández,07071999,99,89,77,28,5,1,2,1,0,0,0,530,1
TI DUP,8032559733,Luis García,16081970,20,74,62,79,2,1,2,0,1,0,0,694,0
CCT,9799496538,Miguel Castaneda,12081938,81,84,10,95,4,0,1,1,0,0,1,6,1
AFIS,3291501442,Laura Cartagena,28052009,32,46,88,8,2,0,2,0,1,1,0,130,0
SIC,8120081710,Melissa López,09081962,95,65,93,68,3,1,5,0,1,0,1,485,1
NUIP,5465780548,Melissa García,02102007,65,20,92,83,3,0,3,0,1,1,0,972,1
CCT,0132149381,Daniela Castaneda,18051994,47,55,5,51,2,0,6,1,0,1,0,552,1
SITAC,3808742881,Manuela Perez,27092001,72,63,22,76,5,1,6,0,0,1,1,752,1
TI,6232973616,María Cartagena,26101959,84,72,71,86,6,0,6,1,0,0,1,7,0
NUIP,7776330628,Melissa Hernández,08081990,11,30,26,96,1,0,3,0,1,0,0,82,0
MTR,7811109752,Miguel García,04121954,24,11,83,94,1,0,2,0,1,1,0,299,1
SITAC,2091643206,Juan Hurtado,13081927,47,31,87,68,5,1,1,1,1,0,1,824,1
ANI,1205963860,Laura Cartagena,06091934,51,67,88,19,6,0,2,1,0,1,0,153,0
TI REC,2366807349,María Perez,15081949,74,10,42,91,4,0,1,1,0,1,1,272,0
TI PV,8853663954,María Castaneda,16051928,75,54,82,54,1,1,4,1,0,1,1,952,1
DCU,7789442539,Ana Castaneda,11082009,53,56,86,42,2,0,4,1,0,0,0,84,1
SIC,0159522913,María Martínez,28081937,3,31,81,75,2,0,1,0,1,1,1,658,0
EIS,8251282226,María Cifuentes,12071946,16,55,63,66,1,0,3,1,0,1,1,705,0
ABIS,0913386110,Marcela Castaneda,07041970,69,26,36,45,4,1,2,1,0,0,1,660,1
ANI,0110297660,David García,17031941,94,4,37,33,1,0,5,0,1,1,0,223,1
CC DIG,8548584174,Luis González,16011973,17,34,40,90,1,1,5,0,1,1,1,983,0
HLED-WEB,6118493797,Manuela Murillo,20012001,38,73,45,36,2,0,6,1,0,1,1,879,1
TI,6811231964,Carlos Martínez,02011941,4,91,62,46,5,1,2,0,1,0,1,262,0
NUIP,8168449969,Laura Perez,26071998,38,98,46,100,3,0,5,1,1,0,0,901,1
HLED-WEB,1059082026,Daniela Cartagena,25071958,57,42,23,83,4,1,6,0,0,1,0,652,0
HLED-WEB,6197761914,Marcela Perez,27102004,2,91,58,21,3,0,3,0,1,1,1,365,1
CCT,6684503994,María González,26121969,67,1,30,16,5,0,1,0,0,0,0,435,1
SIC,6421390041,Luis Perez,25071940,28,3,44,94,1,1,2,1,0,1,0,761,1
CC REN,7265335137,Juan Rodríguez,24081946,3,42,53,4,3,0,1,1,0,1,0,519,1
CC REN,4874053041,Laura Cartagena,26031990,79,28,75,69,1,0,5,0,1,0,0,524,1
SITAC,9640047447,Carlos Rodríguez,15051963,94,31,7,89,4,0,4,0,0,0,1,671,1
TI PV,4548456984,Luis Murillo,09061934,39,26,61,43,2,1,2,1,1,0,1,875,0
CC REC,9679614075,Gabriela García,17121955,31,21,94,11,1,1,4,0,0,1,0,189,1
CCT,8327073530,Luis Cifuentes,18031983,25,9,77,16,5,1,4,0,0,0,0,362,1
