tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,fondoOrigen,prePensionado,institucionPublica,condecoracion,hijosInpec,familiaPolicia,observacionDisciplinaria,numeroSemanas,declaraRenta
SIC,0432696879,Manuela Perez,21081992,56,73,42,30,1,1,4,1,1,0,0,79,0
CC REC,3006395064,Marcela Martínez,07041957,78,12,52,53,3,0,3,0,1,1,1,922,1
AFIS,9306741548,Marcela García,06071974,23,27,100,50,3,0,1,0,0,0,1,119,1
TI REN,6052827422,Sofía Castaneda,15081968,91,86,99,83,6,0,1,0,1,0,1,616,0
CC PV,7212017699,Juan Murillo,04081961,52,37,46,74,5,1,6,1,1,1,1,689,1
CC DIG,5446708735,Luis Martínez,01101931,64,45,77,89,5,0,5,1,0,1,1,592,1
SITAC,1763459620,Manuela Hernández,06021999,56,46,26,30,5,1,2,0,0,1,1,479,0
TI,0533932829,Laura Murillo,16091998,67,47,51,96,5,1,3,1,0,0,0,219,1
SITAC,7459542924,Sofía García,15091939,36,16,92,34,3,1,6,0,1,0,1,323,1
TI REN,9205745675,Gabriela Cifuentes,25111959,18,85,72,24,1,1,5,0,0,0,1,981,1
TI PV,3429737711,Laura Murillo,09121923,73,45,33,82,4,1,5,0,1,0,1,765,1
SIC,3627983324,Melissa Martínez,05092003,85,52,40,19,2,0,2,1,0,1,0,663,1
HLED-WEB,9812024134,Carlos López,03102007,26,64,47,26,2,1,6,1,0,0,1,380,0
ANI,7291719395,Marcela Hernández,26111991,69,90,95,27,5,1,5,1,0,0,0,168,1
MTR,0382967716,Carlos Castaneda,11091941,52,85,86,93,2,1,5,1,1,1,1,965,0
CC REN,9141539034,Laura Hernández,25061976,14,72,81,23,3,1,3,0,1,1,0,273,1
NUIP,1152276924,Marcela Perez,21021930,17,76,49,61,4,1,4,1,0,1,0,69,0
MTR,3785235066,Ana Martínez,19101964,65,88,77,57,2,0,2,1,0,1,1,541,0
CC PV,1192323597,Melissa Perez,25082003,39,52,94,65,2,0,4,1,1,1,0,696,1
TI PV,9115155105,Carlos Rodríguez,22011984,70,57,10,59,4,1,3,0,1,1,1,868,1
ABIS,3909175086,Gabriela López,18011916,31,53,14,11,1,1,4,0,0,1,1,260,1
CC DUP,0083943581,Carlos Perez,16082001,56,43,98,41,1,0,5,1,0,1,0,981,1
HLED-WEB,7968809702,Gabriela Castaneda,07052008,72,81,50,11,5,0,2,1,0,0,1,742,1
CC DUP,5170887157,María Castaneda,25011982,44,49,45,52,2,1,5,1,1,1,0,522,0
TI PV,1840734018,Manuela López,25091996,93,49,66,28,2,0,1,1,1,0,0,572,1
CC REC,8039722004,Sofía López,22032004,85,67,90,5,6,1,2,0,1,1,0,426,0
CC PV,1528519353,Marcela Cartagena,27121953,11,2,20,68,6,1,4,0,0,1,1,147,0
CC DUP,7511981680,Manuela Hurtado,11021994,7,1,36,9,6,0,6,1,1,1,0,241,0
ANI,0562447550,Sofía Martínez,25071974,54,35,2,37,5,0,1,1,0,0,1,972,0
NIP,2491426266,Ana Castaneda,20101954,69,73,3,82,6,0,6,1,0,1,0,232,0
CC PV,9379519105,David Castaneda,14071915,70,100,32,96,2,0,1,0,1,0,0,601,1
HLED-WEB,3493932654,Carlos López,20111975,46,57,48,25,3,0,2,0,0,0,0,132,0
NUIP,3529549670,Melissa López,26091964,59,32,5,85,5,1,6,0,1,1,0,233,1
DCU,9059116454,Gabriela Martínez,16051955,60,81,16,43,5,1,4,0,1,0,1,158,1
CC REN,3420903697,David Castaneda,15011954,56,58,10,93,1,0,1,1,0,1,1,642,0
ANI,9086796108,Luis González,23121970,87,23,89,42,1,1,1,1,0,0,1,321,1
CC DUP,8172882614,Carlos González,09041997,84,1,52,95,3,1,1,0,1,0,1,32,0
CC REN,4884210376,Juan López,13081966,48,16,15,10,3,1,1,1,0,1,1,443,0
CC REN,9956653313,Gabriela García,03091954,29,80,64,86,5,1,5,0,0,0,1,200,1
ANI,8014311355,Miguel Martínez,28081992,5,94,63,34,6,1,4,0,1,1,1,298,0
TI REN,0566627316,María Hurtado,01031915,10,5,44,100,3,0,3,0,0,1,1,92,1
CC REC,6433758971,María Hurtado,19071925,2,39,46,38,1,0,4,0,1,1,0,140,0
SIC,5473458003,María Castaneda,15101994,47,44,85,25,3,0,6,0,1,0,0,627,1
ANI,3558708658,Laura Castaneda,06031985,75,77,36,87,1,0,6,1,1,1,1,852,0
TI,4521934297,Luis López,20061943,29,95,60,63,6,1,4,1,0,1,1,449,0
MTR,7444141900,Daniela Martínez,17051993,54,79,94,40,5,1,6,1,1,0,1,187,1
CCT,2581949353,Gabriela Cifuentes,02091999,98,68,36,26,6,1,6,0,0,0,1,807,0
SIC,4137290295,David Cifuentes,27122007,66,16,88,8,6,1,2,0,1,1,0,85,0
NIP,1924691729,Manuela Cifuentes,24061970,92,18,26,82,1,1,3,0,0,1,0,970,1
MTR,1870755296,Luis González,04121977,71,33,93,34,6,0,2,1,1,0,1,411,0
CC DIG,6522938035,Ana López,11101920,34,2,34,46,3,0,1,0,1,1,1,448,1
EIS,3284966846,Juan Murillo,18021982,83,35,19,26,4,1,5,0,1,0,0,882,1
ANI,9913310555,Laura Castaneda,15061924,92,65,55,8,2,1,4,0,1,1,0,646,1
