tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,fondoOrigen,prePensionado,institucionPublica,condecoracion,hijosInpec,familiaPolicia,observacionDisciplinaria,numeroSemanas,declaraRenta
DCU,2718084486,Laura Cifuentes,01121909,8,44,92,34,6,0,6,0,0,1,0,651,0
DCU,4070799769,Melissa Perez,08012004,16,3,78,56,2,1,2,1,1,1,0,465,0
CC REC,2879196896,Manuela Rodríguez,08021958,69,57,33,53,5,1,4,1,1,0,0,453,1
TI DUP,7067869488,Ana Martínez,01081975,82,77,72,61,2,0,6,0,0,0,1,219,1
NUIP,2231652943,Laura Castaneda,02051983,96,68,2,8,4,1,5,1,1,0,0,339,1
CC REN,6476255535,Carlos Cartagena,06101941,64,13,91,60,2,0,6,0,1,0,0,96,0
TI,7021179951,Marcela Martínez,22091992,17,14,77,4,4,0,6,0,1,1,1,653,0
ABIS,0177615748,Manuela López,20091975,65,48,14,91,4,1,6,1,1,1,1,36,1
ABIS,4245216722,Manuela Cartagena,07111976,53,76,58,64,2,1,4,1,0,0,0,291,0
TI,8243274090,Marcela Rodríguez,05101946,63,68,27,67,1,1,3,0,1,0,1,495,1
CC PV,5296132775,Sofía Cifuentes,27031903,40,84,85,91,3,1,4,1,1,0,0,920,1
CC REC,0643233564,Marcela Hurtado,03051989,10,8,29,77,4,0,2,0,1,0,1,337,0
CC REC,9241443969,María García,12062000,59,17,99,87,2,1,2,1,0,1,0,827,0
TI REN,0204041557,María Murillo,27091988,37,39,52,44,1,0,1,1,1,1,1,755,0
MTR,9190179047,Gabriela Cifuentes,17031949,69,85,54,18,1,1,3,1,1,1,0,541,1
ANI,2877701986,Laura González,07101938,24,39,53,65,5,0,4,1,0,1,0,225,1
TI REN,6067169206,Luis Castaneda,11111949,36,64,18,7,2,0,3,0,1,1,0,98,0
CC PV,8124351197,Daniela González,15101947,1,17,87,44,5,0,4,0,0,1,0,878,0
TI REN,7112567578,Manuela Cifuentes,12062005,13,79,86,72,2,0,1,1,0,1,0,839,1
TI,9405822791,Melissa Cartagena,23051990,52,97,68,59,4,0,5,1,0,0,1,976,0
CCT,5605683262,Luis Castaneda,10011934,70,18,15,7,1,1,2,1,0,0,1,83,1
CC REN,8053413883,Marcela González,04042004,20,77,58,16,4,0,1,1,0,1,0,859,1
MTR,3924155590,Miguel López,01121964,30,60,30,17,1,1,6,0,0,0,1,524,1
ABIS,9386369696,Marcela Perez,07111965,47,61,72,54,6,0,5,0,1,1,0,156,1
ABIS,3324956642,Luis Hernández,19091935,58,4,56,7,5,1,5,0,1,0,1,330,0
AFIS,2540757089,Manuela Cifuentes,03011992,11,90,57,7,5,0,4,1,1,0,1,741,1
CC REN,4812516806,Daniela Perez,09082000,72,95,65,31,3,1,4,1,0,0,1,199,0
CC DUP,9946745837,Ana Hurtado,18031999,9,31,75,100,1,1,1,0,1,0,0,672,0
HLED-WEB,4194095035,Sofía Rodríguez,12031995,3,54,93,50,6,1,1,1,1,0,1,512,0
CC PV,5083436580,Laura Perez,12121927,37,4,1,7,1,1,3,0,0,0,0,934,1
ANI,1832728474,Melissa Perez,01101994,27,39,55,15,5,0,3,1,0,1,1,964,1
TI REN,2249889688,Manuela Murillo,27041949,47,34,73,1,6,0,1,0,0,0,0,249,1
CC,7269673798,Ana Cifuentes,23031936,9,35,64,60,2,0,4,0,1,1,0,39,0
MTR,9008102854,Laura Cartagena,25062009,58,21,96,5,4,0,2,0,0,0,0,797,0
CC DIG,9962581815,Laura García,24121953,98,58,99,98,4,1,3,1,0,1,0,56,0
NUIP,5692289067,Ana Hernández,15091992,78,49,75,79,1,0,2,1,1,0,0,764,0
TI,3030410850,Marcela López,17022008,62,90,6,39,2,0,4,1,0,1,0,442,1
CC REN,0415238397,Laura Rodríguez,11101977,40,39,16,75,6,1,6,1,0,1,1,576,1
NUIP,4979410594,María Murillo,22101945,78,1,86,9,5,1,4,0,0,0,1,467,1
AFIS,7346428845,Melissa Hurtado,12092005,97,55,55,21,2,1,3,1,1,1,1,714,1
TI REC,6397767524,Juan Rodríguez,22021931,59,9,1,18,5,0,2,0,1,0,1,412,0
TI REC,2261557199,Juan Martínez,07121974,89,19,39,82,2,0,2,1,1,1,1,761,1
AFIS,3357479596,Carlos Rodríguez,15031950,11,15,53,81,2,1,1,1,0,0,0,11,1
CCT,8267678031,David García,09121978,41,36,45,54,5,0,2,1,0,1,0,964,0
ABIS,5984952931,Daniela Hernández,21052009,17,51,56,74,3,0,3,1,1,1,1,699,0
HLED-WEB,3527101338,Manuela García,25091969,64,87,45,3,4,1,4,0,0,1,1,828,1
CC DIG,4135581423,David Perez,08011957,72,51,74,100,6,1,1,0,1,1,0,951,0
ABIS,5980361922,Gabriela Murillo,17011929,85,37,37,79,3,0,6,1,1,1,0,568,0
