tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,fondoOrigen,prePensionado,institucionPublica,condecoracion,hijosInpec,familiaPolicia,observacionDisciplinaria,numeroSemanas,declaraRenta
CC,1422497306,Miguel Hernández,11041924,97,47,67,83,6,1,5,1,1,1,0,82,0
ABIS,4207173208,Daniela López,03121943,77,69,27,26,4,1,5,1,0,0,0,183,0
CC,2741214120,Carlos Cartagena,08111972,36,82,13,98,2,0,5,0,1,0,1,312,1
EIS,4391153491,Sofía Cartagena,16051944,20,83,98,47,2,1,1,0,1,1,0,453,1
TI REC,2114889883,Sofía Cifuentes,23051968,97,100,46,59,5,1,1,0,1,0,1,88,1
CC REC,3821499986,Sofía Hurtado,26051941,50,99,55,50,4,0,3,0,1,0,1,246,0
TI,0359168543,David Rodríguez,08041954,60,4,22,16,1,1,2,0,1,0,0,979,1
TI REC,8266691745,Marcela García,27101985,99,58,78,59,1,1,1,0,1,1,0,824,0
TI DUP,0838790712,Carlos Castaneda,16041964,46,90,57,66,4,1,4,0,0,0,0,676,1
ANI,5252310269,Laura Cartagena,27051926,92,34,58,7,5,1,2,1,0,1,0,840,1
TI PV,9828881655,Laura Castaneda,15071918,77,18,49,96,6,1,6,1,0,1,0,635,0
NUIP,8483575868,Carlos Cifuentes,15062000,26,16,71,92,2,0,5,1,0,0,0,10,0
CC REC,4721943462,David González,03101933,39,3,75,29,5,1,4,1,1,1,0,770,1
CC,2321444586,Carlos Castaneda,10061925,26,39,51,5,3,1,4,1,1,1,0,149,0
CC,4239535253,Marcela Cifuentes,01121997,84,40,5,84,1,0,6,0,0,1,0,730,0
CC REC,0393640320,Juan González,13011994,56,48,11,45,3,1,1,0,0,0,0,839,1
EIS,1923964987,Ana Perez,27061924,7,64,16,4,2,0,4,0,0,1,0,984,0
CC PV,0149888305,Ana Hurtado,05081945,56,80,22,76,6,1,6,1,1,0,0,768,0
TI,0715877893,Marcela González,24031963,10,39,2,79,3,1,2,0,1,1,0,795,1
TI REC,4875606473,Juan Cifuentes,06102003,46,41,61,94,6,1,3,0,0,0,0,985,0
CCT,4860010715,David Cifuentes,27122006,37,92,93,58,4,0,6,0,0,0,1,609,0
CC PV,0998302174,Carlos Hurtado,25061950,77,56,69,28,1,0,1,1,0,1,0,875,0
TI DUP,9650101034,Luis Rodríguez,22031974,56,57,27,11,6,0,3,1,0,1,1,313,0
TI PV,9793938643,Ana Rodríguez,11042001,31,1,44,79,2,0,2,1,1,0,1,639,0
SIC,4974085644,María García,20022007,72,24,34,10,6,1,5,1,1,0,0,486,0
ABIS,5249845913,Marcela Cartagena,15061942,3,59,36,86,4,0,1,1,1,0,0,424,1
NIP,4842632415,Luis Hernández,18051971,29,23,8,33,5,1,4,1,1,0,0,940,0
ANI,8386256361,Melissa Hurtado,17082006,61,56,18,1,6,0,6,1,1,0,1,708,1
CC PV,5720246142,Miguel Cifuentes,11061971,2,74,59,95,4,0,6,1,0,0,1,249,0
DCU,1773700826,David González,23061946,76,5,16,63,3,0,4,0,0,0,0,802,1
CC DUP,3448103712,Daniela Perez,01081979,49,88,95,12,4,1,2,1,1,1,1,329,0
CC,8020773865,Manuela Perez,07081976,59,84,62,79,1,0,5,1,1,0,0,101,1
CC REC,0484639857,Manuela Perez,25021927,18,84,32,82,6,1,1,1,0,0,0,184,0
CC DIG,1043192378,María Perez,11041955,16,78,100,32,2,0,5,0,1,0,1,643,1
DCU,1551644401,Melissa García,03012007,75,17,12,3,6,1,1,1,0,1,0,140,0
AFIS,0049025395,Laura Hernández,01081970,98,30,79,69,3,1,2,0,1,0,1,419,1
TI,0498041308,Melissa Hurtado,14102007,19,29,67,84,3,0,1,0,0,1,0,779,1
TI PV,3702697755,Marcela Hurtado,09061932,63,30,51,33,4,1,3,1,1,1,0,672,0
CC DUP,7784894482,David Perez,28111985,22,79,97,82,4,0,1,0,1,1,0,893,1
CC REC,0814133672,Melissa Cartagena,18041973,95,89,43,24,6,0,2,0,1,1,0,216,0
CC,3824256939,David Castaneda,26072017,62,92,56,19,1,0,3,0,1,1,0,346,1
NUIP,8595567697,Juan González,06041932,24,71,21,77,3,1,3,1,1,1,0,303,1
TI,0937342900,Miguel Perez,05091985,74,97,92,67,4,1,4,0,0,0,1,669,0
