tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,fondoOrigen,prePensionado,institucionPublica,condecoracion,hijosInpec,familiaPolicia,observacionDisciplinaria,numeroSemanas,declaraRenta
CCT,0122847786,Melissa Cartagena,18101919,34,34,17,89,1,0,2,1,1,0,1,456,1
EIS,0032194551,Miguel González,24021999,17,33,61,76,5,0,6,0,1,0,1,70,0
ABIS,9313259739,Miguel Martínez,27051960,21,46,74,86,5,1,6,1,0,0,1,115,0
NIP,1181330086,Luis Murillo,16041952,12,68,53,70,4,0,6,1,0,0,1,41,1
CC REN,7994818979,Gabriela Perez,13051950,5,3,65,100,2,0,1,0,1,1,1,59,0
CC DUP,9864276064,Ana Martínez,04061938,26,94,81,45,6,0,6,1,1,1,0,166,1
CC PV,4342587547,Luis Hernández,10111927,57,43,2,69,1,1,3,1,0,1,1,796,0
CC DIG,9831321688,David González,10101984,97,25,17,58,6,0,3,0,0,0,1,146,0
EIS,0907312590,Manuela Murillo,16061945,84,22,66,57,6,0,3,1,1,0,1,508,1
AFIS,7029353971,Manuela García,11061947,77,83,14,86,4,0,2,0,1,1,0,946,1
TI REN,7742869688,Luis García,05121993,27,1,57,68,4,0,1,1,1,1,0,812,0
CC REN,0914872086,Sofía Hernández,15031958,61,81,74,52,6,0,2,0,1,0,1,108,1
CC REC,7425167191,Daniela Rodríguez,27061989,43,73,86,16,3,0,5,1,1,0,0,894,1
TI,6855460086,Manuela González,23051990,49,1,6,29,1,1,2,1,0,0,1,783,0
ANI,8723538440,Miguel Cifuentes,14051959,54,59,24,62,3,0,1,0,1,1,1,48,1
CCT,8938437349,Luis Cifuentes,18011959,60,29,23,76,2,1,3,1,1,1,1,603,0
MTR,8550390799,María González,27121960,71,23,24,7,5,0,3,0,1,1,0,244,0
CC DUP,4593336818,Miguel Murillo,28071963,90,78,7,86,4,0,1,1,1,0,1,11,1
NUIP,4687287173,Luis García,10061957,57,89,90,78,4,1,6,1,1,1,0,988,0
TI PV,7814944622,María García,10031949,92,71,99,23,5,1,6,0,1,1,1,66,0
SIC,5906930076,Daniela Murillo,28052007,73,49,65,51,2,1,4,0,1,1,1,865,0
CC DUP,6410594719,Melissa Hernández,22111973,4,22,67,57,6,0,4,1,0,0,0,157,1
CC REC,1321634676,Miguel García,01051959,46,73,55,68,1,0,1,0,0,1,1,704,0
TI DUP,6521624221,Manuela Martínez,16062006,86,64,89,85,3,0,3,1,0,0,0,793,1
TI REC,4870609356,María Hernández,07051940,56,75,62,67,1,0,5,0,1,0,0,517,0
TI DUP,5665261537,Melissa López,21011996,50,18,3,100,2,0,3,0,1,1,0,29,0
ANI,7888742538,Miguel Murillo,01111944,63,35,4,75,4,1,1,0,1,1,1,789,0
TI,8724612542,Melissa Cifuentes,15121966,68,90,8,62,2,1,6,0,0,0,1,404,1
CCT,6097805966,Marcela García,02081986,83,45,89,67,5,1,3,1,0,0,0,55,1
NIP,4898690273,Gabriela López,18021925,24,59,59,4,6,1,3,1,1,0,0,137,0
ABIS,7288217817,Melissa Martínez,06062003,17,80,82,89,3,0,2,0,0,1,0,179,0
CC REC,1407543581,Daniela Cifuentes,03041979,100,16,75,74,2,0,1,0,1,0,0,334,1
TI REC,9565952581,Daniela Rodríguez,18021962,59,48,12,71,1,1,4,0,1,0,0,140,1
HLED-WEB,0112555367,Luis Cifuentes,27091954,77,95,56,60,2,0,5,0,0,1,0,264,0
TI,5054654397,Laura González,12111974,58,50,78,34,2,1,2,0,0,1,0,449,1
AFIS,3693310189,Marcela Hernández,01031995,76,28,9,15,3,0,6,0,1,0,0,852,1
CC REC,5210961901,Carlos Hernández,10111996,15,57,43,22,2,1,3,1,1,0,1,690,0
CC DUP,7705088272,María Hernández,20081961,49,36,13,31,3,1,5,0,0,1,1,939,0
SITAC,3931596695,Luis Hurtado,09061958,100,60,43,86,2,0,4,1,1,1,1,8,1
SITAC,3687487694,Manuela Rodríguez,08072005,91,3,38,18,3,0,1,0,0,0,1,869,1
ABIS,2939969522,Marcela Hernández,07012011,14,22,18,6,5,1,1,0,1,1,0,960,0
TI REN,6455977955,Gabriela Perez,05041925,15,74,47,16,5,1,2,1,0,0,0,934,0
TI REC,5371815019,María Murillo,22081929,73,5,4,27,5,0,3,0,1,0,1,748,0
CC DUP,7809766677,Luis Hernández,09062001,22,67,52,99,4,0,6,0,0,1,0,790,0
SITAC,4892410231,Sofía López,24121977,19,89,82,70,6,1,2,0,1,1,0,215,1
MTR,6104606805,María González,12031944,95,88,68,49,5,1,1,1,1,0,1,950,1
CC REC,4608325226,Melissa Rodríguez,09102001,63,81,99,81,4,0,6,0,1,0,1,400,0
TI,2642317683,Marcela Hernández,28051972,60,66,70,35,2,1,3,1,0,1,0,411,0
TI REC,5394909808,David Castaneda,20091979,52,90,65,36,1,1,3,1,1,1,1,30,0
CC DIG,5336959337,Laura Perez,07091982,20,92,55,68,5,1,2,1,0,1,0,747,1
HLED-WEB,3740469338,Gabriela Castaneda,21031904,8,21,72,90,5,0,6,0,0,0,1,741,0
SIC,6953774555,Melissa García,10122004,96,16,52,5,5,0,5,1,1,1,1,825,0
CC REN,9758395021,Luis Castaneda,02011977,61,63,53,1,5,1,3,1,1,1,0,708,1
TI PV,8115856002,Marcela López,07091971,41,19,55,74,5,0,2,1,0,1,1,758,0
NUIP,1176320100,Ana Rodríguez,02081943,42,56,90,37,2,1,6,1,1,1,1,687,1
CC REN,3698991808,Carlos Castaneda,20061980,49,56,51,88,6,0,6,0,1,1,1,136,0
HLED-WEB,4847925335,Luis Hernández,14011965,80,31,7,3,3,0,2,0,0,0,1,655,0
CC REN,5781611920,María Rodríguez,17101999,22,87,62,53,1,1,2,1,0,1,0,141,0
MTR,6711344782,Miguel Cifuentes,01081935,52,40,2,10,3,1,1,0,1,0,1,860,0
TI DUP,0639206343,Miguel Cartagena,11072003,16,92,15,11,5,1,4,0,1,0,0,61,0
ANI,3729807645,María Perez,14101951,50,42,89,30,4,1,1,1,1,1,0,708,0
ABIS,7205161418,Melissa Castaneda,18121936,57,4,45,62,1,1,2,1,0,1,1,50,0
CC PV,4352511195,Sofía Perez,20101980,6,69,22,55,5,0,3,1,1,1,1,362,1
TI REC,1907674787,Sofía Castaneda,15071978,34,86,50,50,4,1,5,1,0,1,0,629,0
TI PV,3189791259,Miguel López,04061955,93,80,29,99,4,1,4,1,0,0,0,739,0
ANI,5560324060,Laura Castaneda,27101998,26,78,34,93,5,0,1,0,0,0,0,779,0
CC REN,8557329789,Gabriela García,15081954,32,36,86,83,1,1,6,1,1,1,1,773,0
NIP,0703894379,Luis García,22082003,41,91,44,89,6,1,2,0,0,1,0,460,1
MTR,9959252788,Luis Rodríguez,07101989,13,14,14,6,3,1,1,1,1,1,1,657,0
HLED-WEB,4441991314,Marcela Martínez,02081966,84,89,90,60,1,1,5,0,0,1,1,884,0
SITAC,4589417666,Marcela Rodríguez,26062017,67,35,91,21,4,1,1,1,0,1,1,465,1
CC REN,8004777585,Ana Martínez,04041934,9,98,66,73,1,0,3,1,0,1,1,708,1
TI REC,9921934908,Luis García,27072004,100,20,80,7,1,0,6,1,1,0,1,386,0
NIP,5342419638,María Hernández,19051977,2,67,13,75,3,1,5,1,0,1,0,16,1
NUIP,9624956963,Sofía Hurtado,21042006,100,79,64,48,2,0,6,0,1,0,1,434,0
ABIS,4966336476,Sofía González,28051956,82,66,1,11,5,1,3,1,1,0,1,202,0
SIC,9084053719,Manuela Martínez,23041940,14,80,76,48,2,1,1,0,1,1,0,409,0
TI DUP,1873861120,Miguel Perez,04041939,16,16,52,77,2,0,3,0,1,1,0,142,1
CCT,6821928163,Marcela Murillo,07021953,28,51,41,37,2,0,3,1,1,0,0,63,0
NUIP,4987869982,Daniela Cifuentes,18101934,6,62,20,98,4,0,3,0,0,0,1,397,1
CCT,0245674449,Melissa Perez,23011908,20,85,30,90,4,1,2,1,0,0,0,957,0
CC DIG,1424521520,David Castaneda,20101975,20,41,94,69,5,0,2,0,1,1,0,759,0
CC,1091022282,David Murillo,20091963,13,86,71,89,4,1,6,1,0,0,0,740,1
SITAC,3590782321,Luis Perez,01031929,30,90,33,84,6,0,1,1,1,0,1,183,0
CC REN,4436431091,Sofía Murillo,08072001,65,95,87,49,1,0,2,1,1,1,1,25,1
MTR,0891131732,Marcela Cifuentes,08041950,96,57,82,79,4,1,1,0,1,1,0,108,0
CC PV,0581663880,María Castaneda,12112003,92,4,58,49,5,1,1,0,1,1,1,853,0
DCU,0899631825,Luis Martínez,13051983,15,63,13,64,6,1,5,0,0,1,0,205,1
CC DIG,0952152962,Sofía Castaneda,08011947,87,54,36,34,1,0,4,1,1,1,0,273,0
HLED-WEB,1364330173,David Martínez,03071957,45,37,73,34,3,0,5,1,0,1,1,726,0
HLED-WEB,3253957422,Ana González,17111976,34,22,8,33,1,1,2,0,1,1,1,531,0
SIC,5792134825,Sofía Murillo,14082009,62,64,82,67,5,1,1,0,0,1,0,490,0
SITAC,4240223277,Manuela Rodríguez,13031932,19,77,33,8,3,0,3,1,1,0,0,205,0
CC,9503074919,Gabriela Hurtado,19011987,93,95,20,97,6,0,4,0,0,0,1,486,0
NIP,1439937027,Carlos García,04031975,77,68,7,98,3,0,5,0,0,1,0,42,0
CCT,4905188620,Miguel Martínez,04021985,4,60,71,1,1,1,6,1,1,0,0,262,0
TI PV,7046893873,David Hernández,18111973,59,64,63,91,2,0,1,0,0,1,0,227,0
CC,9191466553,David Martínez,02051930,35,6,54,6,3,1,2,1,0,1,1,940,0
SIC,1704149589,Ana Murillo,03082005,6,67,65,92,2,0,3,0,0,1,0,841,0
CC DIG,9323164616,Marcela Cartagena,06011992,20,21,40,36,5,1,2,1,1,0,1,869,0
