tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,fondoOrigen,prePensionado,institucionPublica,condecoracion,hijosInpec,familiaPolicia,observacionDisciplinaria,numeroSemanas,declaraRenta
CC DUP,3501888888,Gabriela López,13111988,44,58,8,67,4,1,4,0,1,0,0,551,0
CC REN,2502738039,María Castaneda,21011954,35,76,18,70,3,0,3,1,1,0,0,252,1
CC,6661490549,David Castaneda,27111946,63,1,87,9,4,0,4,0,1,1,1,47,0
DCU,5124619491,Gabriela Perez,19012009,95,50,88,35,3,1,3,1,0,0,1,753,0
AFIS,0466209830,María González,11011988,66,39,39,82,5,0,6,0,1,0,1,939,1
NIP,8272053480,Melissa Perez,14041950,99,82,79,71,4,1,1,1,1,1,0,794,0
DCU,1222293374,Melissa Hernández,02091949,17,35,69,55,6,1,6,0,0,0,1,355,0
CCT,9166346880,Miguel Martínez,22091925,42,62,93,35,6,0,3,1,1,1,1,642,1
CCT,7809729037,Ana Cifuentes,06021960,83,68,71,64,2,1,4,1,0,1,0,876,0
ANI,7554190554,Miguel Cifuentes,01051947,16,57,35,96,3,0,4,0,0,0,1,61,1
SIC,6944994159,David Murillo,14121954,32,6,74,23,1,1,1,1,1,1,0,546,1
CC DIG,0834201826,Manuela Cartagena,28011987,12,80,95,50,2,1,5,1,1,1,1,332,1
CC REC,3242365893,Carlos González,10071937,82,25,97,76,5,0,5,0,0,0,0,260,1
HLED-WEB,1568612929,Manuela Murillo,15081938,95,33,52,63,4,1,3,1,0,1,0,715,0
ABIS,3103254942,Juan Castaneda,02051970,19,36,68,100,4,0,5,0,0,0,1,88,0
EIS,3123712125,Juan Murillo,25021990,99,31,27,81,3,0,5,0,1,0,0,742,1
AFIS,5864881093,Sofía Hurtado,07011988,25,44,79,60,5,1,1,1,0,0,0,206,0
DCU,5687144317,Manuela Hernández,04111932,20,11,58,33,6,0,1,0,0,0,0,584,0
MTR,7140684369,Sofía Martínez,08011997,66,58,40,100,6,1,1,0,0,1,0,3,1
CCT,6326234546,Manuela Cartagena,26041936,67,89,3,70,6,0,1,1,0,0,0,37,1
CC REN,5255618805,Marcela Murillo,09111921,46,75,42,6,2,0,6,1,1,1,0,186,0
CC,6005335239,Juan Castaneda,14081928,46,74,46,48,5,1,2,0,1,1,1,84,1
CC,9566343960,Sofía Perez,28051966,68,46,22,8,5,1,3,0,0,0,1,886,1
CC,1499388300,Miguel García,15101994,73,60,50,13,4,1,6,1,1,1,0,678,0
DCU,1728203603,María Rodríguez,10051928,54,39,24,97,6,1,4,0,1,0,1,440,1
CC DIG,1942075326,Juan Perez,25061971,26,81,76,18,3,0,6,0,1,1,1,505,1
CC DUP,7366583631,Ana Perez,14111950,90,9,40,29,5,0,6,1,1,1,0,250,1
MTR,6149398206,David García,28092005,47,84,98,25,4,1,3,1,1,1,1,646,0
CC,8684540877,Daniela Perez,02021986,96,84,38,9,2,0,6,0,0,0,1,567,1
TI PV,2856512895,Juan Perez,24051965,64,11,32,23,1,0,5,1,0,1,1,988,0
ANI,1143614120,Juan Cartagena,23111901,79,43,2,7,5,0,6,0,0,1,1,264,0
SIC,4631038736,María García,05031944,82,16,40,65,4,1,1,1,0,1,0,733,0
NUIP,5495742834,Miguel Murillo,18011988,79,74,80,28,6,0,1,0,1,0,1,801,1
CC,8016883013,Luis Cartagena,24041931,62,77,56,47,3,1,6,0,1,1,0,162,0
