tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,fondoOrigen,prePensionado,institucionPublica,condecoracion,hijosInpec,familiaPolicia,observacionDisciplinaria,numeroSemanas,declaraRenta
NIP,6837266859,David García,13041937,41,58,45,42,2,1,6,0,1,0,1,977,1
MTR,2193308463,Melissa Castaneda,07022007,34,54,49,23,5,0,4,1,1,0,0,394,0
NUIP,0842827219,Miguel Castaneda,25011959,31,5,2,52,2,0,2,0,1,0,1,508,0
TI,6803793824,Melissa Martínez,04121936,12,84,89,25,4,0,6,1,0,0,1,175,0
SIC,7686531716,Gabriela Cifuentes,09121964,41,14,89,39,5,0,2,0,0,1,0,126,1
EIS,6777493051,Gabriela González,16101990,94,97,63,62,6,0,6,1,1,1,1,557,1
CC REC,3648748853,Luis Martínez,03011956,40,52,25,2,5,1,1,1,1,0,1,814,1
CC DIG,7833643447,María Castaneda,25041971,70,2,30,63,2,0,4,0,1,0,0,301,1
CC REN,7077399293,Marcela González,14021945,13,2,76,19,6,0,3,1,1,0,0,585,0
EIS,8175352712,Sofía López,01121970,63,96,46,12,1,0,2,1,0,0,0,961,1
NIP,4790679150,Luis Murillo,24031906,41,57,2,58,1,0,1,0,1,0,0,81,1
CC,7515009221,Miguel Murillo,13121955,42,87,41,13,5,0,4,0,1,1,1,50,0
TI,1522123621,Juan Castaneda,28111958,19,5,57,29,3,0,1,0,0,0,0,898,0
CC DIG,8746160376,Luis Perez,21112009,7,34,8,8,1,0,2,0,1,0,0,226,0
NUIP,8877157240,María García,10061933,17,13,78,38,3,1,4,0,1,1,0,703,1
MTR,8467495377,Ana Hurtado,12091959,95,76,39,55,4,1,6,1,1,1,0,789,1
TI DUP,7373843240,Ana Murillo,27091957,5,57,97,4,2,0,1,0,0,0,0,177,1
AFIS,2790530926,Manuela Martínez,08121930,93,33,100,73,2,1,5,0,0,0,1,569,1
CC DIG,7274149643,Manuela Cifuentes,25061989,31,9,47,8,6,1,4,0,0,0,0,101,1
DCU,1686499097,Daniela Perez,04021965,6,60,74,48,3,0,6,1,1,0,1,846,0
TI PV,2405103878,Laura Perez,09121925,7,82,11,82,4,1,2,1,0,0,0,552,0
TI PV,9300639225,Carlos González,27061957,48,35,29,28,1,1,4,1,1,0,1,80,0
SITAC,4237421645,Laura García,19111982,29,73,87,23,3,1,5,1,0,1,0,483,0
ABIS,0571213057,Laura Hurtado,06111963,45,37,69,33,6,1,2,1,1,0,1,442,0
CC REC,1189615873,David Rodríguez,17111971,3,60,11,50,1,0,3,0,0,1,1,837,0
CC PV,0670212488,David López,28072001,85,6,79,4,4,0,4,0,0,1,1,627,1
TI,7755109437,Gabriela Cifuentes,17101960,30,9,50,96,3,1,4,1,0,0,1,975,0
CC,3644793306,Luis Castaneda,19111996,51,26,22,67,3,0,2,0,1,0,1,733,0
SIC,7711301603,Gabriela Cartagena,25051997,10,76,93,13,4,1,4,1,1,0,1,799,1
TI,2445836172,Carlos Hurtado,28031965,24,95,75,100,3,0,2,0,0,1,0,944,0
SITAC,2728853528,Luis Rodríguez,12081909,86,52,47,85,4,1,5,0,1,1,1,455,0
CCT,5315772333,Ana López,20071984,5,32,49,98,4,0,3,0,0,0,1,718,0
CC REC,0936941172,Luis Cartagena,04032000,36,31,19,85,3,0,4,0,0,1,1,714,1
DCU,9446030272,Ana García,22061947,44,17,25,75,5,0,5,1,1,0,0,793,0
CC DIG,2858860408,María Rodríguez,11031982,35,81,39,73,2,0,1,0,1,1,0,258,1
HLED-WEB,7450584220,Juan Cartagena,27081928,72,6,83,54,6,1,5,1,0,0,0,317,0
CC REN,6689473537,Luis González,01091954,9,89,20,46,4,0,5,1,0,0,0,688,1
TI REN,3831494250,María Hurtado,17071987,76,11,14,12,6,1,2,1,0,0,1,432,1
CCT,1516012787,Daniela Murillo,23022004,93,11,97,46,2,0,6,1,0,0,1,802,1
ABIS,4414410030,Laura Cifuentes,02031954,34,95,27,86,5,0,6,0,1,1,0,649,1
NUIP,4922793608,Marcela Rodríguez,25101944,16,31,89,65,3,1,3,1,0,1,1,135,1
CC REN,8241529355,Melissa Perez,16032000,50,84,43,88,6,0,2,0,1,0,0,280,1
ABIS,7275158677,Melissa López,28101989,63,17,4,1,1,1,2,0,1,1,1,536,1
CC REC,6386953619,Melissa Hurtado,21071940,27,35,41,30,5,1,6,0,0,0,1,54,1
