tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,fondoOrigen,prePensionado,institucionPublica,condecoracion,hijosInpec,familiaPolicia,observacionDisciplinaria,numeroSemanas,declaraRenta
SITAC,2628907505,Laura Castaneda,01081981,88,3,97,17,5,1,1,0,1,0,0,938,0
TI PV,6500858368,Marcela Cifuentes,02061955,70,3,14,65,6,0,2,1,1,0,0,93,0
SIC,2300674142,Marcela Hurtado,18081966,46,57,22,16,4,1,6,1,0,1,1,896,0
TI DUP,3025325384,Carlos Hurtado,05021970,10,89,74,81,3,1,1,1,1,1,0,210,1
TI DUP,4218082443,Ana García,27091936,74,41,56,85,4,1,3,0,1,1,1,182,1
ABIS,5900326940,Daniela García,13061989,45,99,45,12,4,0,1,1,0,1,1,691,1
TI REN,2891318602,Marcela López,25071992,50,61,32,79,2,0,1,1,1,1,1,624,1
SIC,3617483310,Gabriela López,09091945,3,53,43,36,1,1,3,1,1,1,0,923,0
NUIP,1419845458,Laura Cartagena,16121959,94,76,10,69,5,1,4,1,1,1,1,630,1
CC DIG,8669820715,Gabriela García,23011973,25,22,6,79,3,0,2,0,0,0,1,183,1
HLED-WEB,0629413058,Daniela López,12021960,35,60,8,4,6,0,4,1,1,0,0,968,0
ANI,5400976139,Gabriela Murillo,09092009,66,16,53,2,5,1,2,0,1,1,1,185,1
CC DUP,0074744159,María Cartagena,19051959,86,10,60,71,4,1,5,0,1,0,1,215,1
ANI,9407100421,Juan Rodríguez,17071982,16,33,73,35,1,0,1,1,0,0,0,614,0
TI DUP,0835129162,Manuela Castaneda,02051994,3,44,29,17,1,1,1,1,1,1,1,370,1
NIP,2307241398,Luis Perez,28091963,4,79,1,89,2,0,3,0,0,1,0,446,0
CC,0896913426,María Castaneda,02112003,30,30,59,3,3,0,2,0,0,0,1,695,1
CC PV,5998828121,David Castaneda,26032001,88,77,34,10,3,0,2,1,0,0,1,36,1
SITAC,5791914162,Sofía Hurtado,12121982,38,39,4,3,3,1,4,1,1,0,0,60,1
ANI,6057714892,Gabriela Cifuentes,25071953,41,70,9,10,4,0,2,0,0,0,1,599,0
ABIS,9950524000,Manuela Cifuentes,19121969,1,74,79,69,2,0,2,1,0,1,0,228,1
TI REC,7868686859,David Cifuentes,22041950,73,41,63,44,6,1,5,0,0,1,0,319,1
EIS,0205913880,Laura Perez,27011992,54,28,57,69,5,0,2,0,1,1,1,756,0
SITAC,4732521943,Luis López,14031953,100,18,83,78,2,1,4,0,1,1,0,406,1
TI REN,0291860625,Miguel González,20071959,54,88,41,46,3,1,2,1,0,1,1,21,0
CC,0045169616,Ana Perez,27091972,19,93,96,70,6,1,6,1,0,1,0,820,0
NIP,3173825526,Marcela Cifuentes,25091940,20,7,22,54,4,1,2,0,0,1,0,705,1
CC DIG,0580459462,Ana Murillo,13072000,44,27,77,25,2,1,5,0,1,1,0,109,0
CCT,7288249256,Laura Castaneda,19011966,20,91,75,12,5,0,1,0,1,0,0,827,0
CC,1000766979,Melissa González,13071968,74,65,38,82,1,1,5,0,0,0,0,879,0
CC,8255118305,Carlos Cifuentes,17091992,12,4,11,4,1,0,3,0,0,1,1,993,1
CC,6252040641,Juan Murillo,26091982,29,42,32,76,3,0,2,0,1,0,1,966,1
HLED-WEB,3539955387,Melissa Castaneda,23011964,95,78,97,35,5,1,2,0,0,1,0,252,1
MTR,8507512742,Carlos Cartagena,03061997,79,35,44,15,2,1,1,1,1,0,1,608,1
TI,3861286287,Daniela Cartagena,01091925,85,96,20,40,4,0,4,1,1,0,0,176,1
TI PV,7984917651,Gabriela García,15041945,95,81,67,92,6,0,3,0,0,1,0,567,1
AFIS,8624151577,Daniela López,19102000,67,16,44,50,6,1,4,1,0,1,1,892,0
CC REC,4584226364,Juan Hurtado,26051941,44,83,3,49,5,1,1,1,0,1,0,24,0
CC DIG,6685577088,Marcela Martínez,21121939,22,79,62,95,2,0,3,0,1,1,0,292,0
SITAC,2325590679,Laura Perez,10031952,66,89,87,26,4,1,1,1,1,0,0,426,1
EIS,1086231490,Manuela Perez,01112004,60,71,98,1,4,0,1,0,0,1,1,208,1
TI REC,1271339060,Gabriela Castaneda,23071946,76,30,88,17,1,0,6,0,1,1,1,650,1
HLED-WEB,4484661156,Marcela González,08071988,18,2,6,71,5,0,5,1,1,0,1,466,0
TI REC,9340775454,Luis Hernández,14031992,28,56,64,42,6,1,2,1,1,1,1,817,0
CC REC,1812601904,Laura Rodríguez,14091934,24,23,92,57,2,1,2,1,1,0,0,224,1
SITAC,3868603824,Miguel Martínez,01122004,93,74,12,82,6,1,2,0,0,1,1,125,1
TI,6413371719,Marcela Murillo,09091970,90,72,8,33,5,0,1,0,0,1,0,404,0
SITAC,5389883549,Laura Cifuentes,13121967,68,62,58,19,1,0,3,1,1,1,0,271,1
NUIP,1127911810,Carlos Murillo,22011997,77,90,32,22,1,1,1,1,1,1,1,777,0
