tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,fondoOrigen,prePensionado,institucionPublica,condecoracion,hijosInpec,familiaPolicia,observacionDisciplinaria,numeroSemanas,declaraRenta
CC,6282435075,Ana González,14091961,28,15,56,75,1,1,6,1,0,0,0,100,1
CC DUP,1148432876,Miguel Hernández,02031968,78,47,86,97,5,1,3,0,1,1,0,870,1
ABIS,4688616955,Gabriela Cartagena,12031945,68,38,28,99,4,0,4,0,0,1,0,564,0
TI PV,1927460350,Carlos Murillo,04101955,28,22,42,99,4,0,3,1,0,0,1,816,0
TI REN,6222134908,David Murillo,24091981,20,11,24,37,6,1,5,1,0,1,0,993,0
TI,4010109147,Sofía López,28031973,20,90,96,50,3,0,3,0,0,0,0,628,1
CC REC,3190539122,Laura Perez,18051975,55,88,22,23,4,1,5,1,0,0,0,810,1
CC,3860743710,Laura López,01021962,17,61,45,39,4,0,1,1,1,0,0,759,1
NUIP,8824468144,María Castaneda,27071972,68,33,70,95,4,0,1,0,1,0,0,863,0
TI REC,5979240290,Juan Cifuentes,06021936,33,59,88,75,3,0,5,0,0,1,0,364,1
TI REC,2555650993,María Murillo,09081905,22,42,4,37,4,1,3,1,1,0,1,501,0
HLED-WEB,4986388663,Juan González,13051973,56,26,18,90,6,0,2,1,1,1,1,972,0
SITAC,3951383209,Luis Murillo,27121974,39,86,30,86,2,1,5,0,1,0,0,122,0
TI REC,3654525581,Sofía Cifuentes,19102003,30,1,52,100,4,0,2,0,1,1,0,606,0
TI REC,4516152364,Manuela González,07101962,93,90,63,99,2,0,1,0,1,0,1,501,1
CC DUP,3052684334,Luis González,24041962,45,65,17,10,6,1,2,0,0,1,0,724,1
SIC,6843859549,Gabriela González,13051972,3,59,17,73,1,0,5,1,0,0,0,623,1
HLED-WEB,9291221200,Miguel Cartagena,17101935,66,53,49,33,3,0,6,1,0,0,0,203,1
CC,8838977482,Melissa López,10081988,53,19,39,49,1,0,1,1,1,1,1,798,0
TI DUP,4304197468,Sofía Murillo,01081992,16,2,81,72,6,0,3,0,1,0,1,988,0
CC REN,5637667116,David Martínez,06121966,73,69,82,77,3,0,2,0,0,1,0,816,1
TI REN,9397126831,Laura Perez,11091975,6,59,81,3,4,0,6,1,1,1,1,393,1
TI REC,0553008238,Melissa Martínez,10061957,42,55,41,47,1,0,1,1,1,0,1,45,0
CC DIG,6709687835,Sofía González,14051926,43,76,32,90,4,1,4,0,0,0,1,552,0
SIC,0709357815,Miguel Cifuentes,17051985,64,75,60,33,2,0,2,0,1,0,0,889,0
CC DUP,7211182011,Laura López,09022002,19,83,76,54,6,0,1,1,0,0,1,139,0
ANI,4410405961,Daniela Martínez,08101952,89,81,64,64,3,0,2,0,1,1,1,39,0
TI PV,5041237405,Gabriela García,27021960,93,88,20,49,6,1,3,0,1,0,1,811,0
CC REC,9881891971,David García,06081931,57,95,82,71,4,0,1,0,1,0,0,917,1
