tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,fondoOrigen,prePensionado,institucionPublica,condecoracion,hijosInpec,familiaPolicia,observacionDisciplinaria,numeroSemanas,declaraRenta
SIC,5197996898,Ana Hernández,14012010,47,3,98,38,6,1,4,1,1,0,0,828,1
ABIS,7247784555,Luis Hurtado,26011942,77,61,32,75,2,1,3,0,1,1,0,521,1
TI REN,5518637341,María González,25031948,33,19,67,42,1,0,4,1,1,1,0,226,1
EIS,4798288349,Daniela Perez,02102007,54,60,23,27,1,0,2,1,0,1,0,227,0
CC,1755402024,Ana Hernández,20121978,16,21,26,73,2,1,3,0,1,1,0,918,0
SITAC,7033746437,Manuela Cifuentes,07052000,74,35,9,23,4,0,4,1,1,1,1,368,0
TI PV,6838692481,Laura González,06071938,27,42,40,80,4,0,2,1,0,1,1,440,1
CC REC,6722703326,David Rodríguez,03091946,73,4,83,2,4,1,3,0,1,0,1,185,1
NIP,3615581428,Marcela Perez,01101969,66,42,88,51,4,1,1,1,0,0,1,158,0
TI,6315353838,Laura López,20021978,24,20,18,75,2,0,3,0,0,1,1,312,1
AFIS,1404644475,Miguel Rodríguez,17081976,81,13,89,58,3,1,5,1,0,0,0,415,0
MTR,8568394426,Melissa Castaneda,23091926,81,31,100,45,5,0,6,0,0,1,1,221,1
SITAC,1751334156,Sofía Hurtado,25071966,79,20,77,17,4,0,6,1,0,0,1,410,0
NUIP,4990596322,Sofía Hernández,11101961,74,48,4,77,3,0,4,1,1,1,0,151,0
AFIS,9966789958,Marcela Rodríguez,05121971,8,43,35,99,4,1,5,1,1,1,0,739,1
ANI,6915499131,María López,16111975,71,73,6,68,2,0,6,1,1,0,1,385,0
CC DUP,9311143552,Gabriela Murillo,23061964,76,52,74,19,1,1,5,1,1,1,1,487,0
CC PV,7590728971,Marcela Hurtado,22111927,30,63,50,91,2,1,6,1,0,1,0,790,1
CC DIG,4736149142,Luis Rodríguez,15052002,64,32,69,42,3,1,6,1,0,0,0,228,1
DCU,8561303447,Laura Perez,05011978,11,34,70,33,2,1,2,0,0,0,1,305,0
AFIS,1102816931,Melissa González,02091915,39,28,70,32,6,1,6,0,0,0,0,778,1
SIC,1644117266,Daniela Hurtado,12061938,95,45,88,92,4,1,6,1,0,1,1,581,1
TI PV,3227564802,Melissa Hurtado,23112003,91,61,57,62,4,0,2,0,0,0,0,142,1
CC,9080440386,Daniela Murillo,01031987,79,64,89,62,6,1,5,1,0,1,0,403,0
ANI,9986214760,Miguel Murillo,19081976,25,52,58,95,5,1,4,0,0,0,1,204,1
EIS,1772870839,Laura Perez,27122001,11,16,64,10,5,1,5,0,1,1,0,650,0
HLED-WEB,2258803879,Manuela Martínez,10031935,32,52,27,93,2,0,2,0,1,1,1,612,0
CCT,6942095782,Juan Cartagena,23061968,100,71,39,77,3,0,3,0,0,1,1,19,1
TI REC,3604078856,Juan Castaneda,22101985,87,72,78,16,4,0,5,0,1,0,0,594,0
CC,9997982176,Miguel Hernández,16111991,34,85,40,95,5,1,3,1,1,0,1,457,1
NIP,2011839180,Marcela López,27102022,41,81,90,78,4,1,5,0,1,0,1,854,0
SIC,5085550491,Gabriela López,02091999,88,19,43,86,2,0,1,0,0,1,0,531,0
CC REC,2077889083,Marcela Perez,11011953,79,21,38,64,5,1,2,1,1,0,0,846,0
CCT,2879834314,David Rodríguez,21071971,4,81,59,46,6,1,6,1,1,0,0,639,1
HLED-WEB,9818753601,María Hurtado,16071938,95,31,47,33,4,0,2,1,0,1,0,260,0
CC,2581948097,Ana Hernández,15081984,100,87,27,93,5,0,5,0,1,0,0,766,1
MTR,1811334878,María González,04051960,23,40,2,93,2,1,2,0,0,0,1,358,0
NUIP,8433425664,Daniela Perez,19121996,42,32,71,55,4,1,6,1,0,0,1,856,0
CC DUP,0709768097,David Cifuentes,16111948,42,85,78,67,2,0,2,1,0,1,0,94,0
TI PV,3653978549,Juan Cartagena,11091929,100,76,28,31,3,0,6,0,0,1,1,245,0
DCU,4998504122,Juan Hurtado,05051907,62,85,83,66,4,1,1,0,0,0,1,343,1
NUIP,8554007840,Carlos López,24091959,3,19,22,32,1,1,6,0,0,0,0,16,0
CC REC,5009948647,Laura Cifuentes,23021999,17,71,12,84,6,1,1,0,0,0,1,802,0
MTR,7229339769,Ana Castaneda,03071991,64,1,44,35,1,0,4,0,0,1,0,922,1
EIS,3229797058,Ana González,08031998,39,75,77,82,4,0,5,0,1,1,1,133,0
CCT,5723832724,Juan García,16102002,61,49,85,7,4,0,2,1,1,1,1,574,1
SIC,7779089229,María García,23031946,23,5,44,66,4,1,3,1,0,1,0,993,1
NUIP,5642781031,Miguel Hurtado,03091998,10,85,63,42,1,0,5,0,1,1,0,592,1
TI REN,8421038224,Sofía Cifuentes,19081985,71,46,89,47,5,1,5,1,1,0,0,634,1
AFIS,4297246496,Gabriela García,09062005,48,63,42,40,3,0,5,1,0,0,0,915,0
CC,4633950651,Juan Castaneda,27011945,48,19,63,68,2,0,1,1,0,0,1,614,0
SIC,9159493230,Daniela Martínez,14011927,43,99,28,36,3,1,4,1,0,0,1,117,1
NUIP,8491004331,Sofía Martínez,27081928,8,14,16,87,3,1,1,0,1,0,0,336,0
MTR,7145917031,Miguel Rodríguez,09071969,15,95,43,39,4,0,1,0,1,1,0,17,0
CC REN,3409861925,Laura Martínez,10091975,75,33,6,20,4,1,1,0,1,0,0,261,1
CCT,6959201984,Sofía Perez,24091951,94,43,37,31,6,0,2,1,0,1,0,159,1
CC DUP,8413893965,María Cartagena,14121982,39,59,95,40,4,1,3,1,1,0,0,133,1
NUIP,5169589383,Gabriela García,10121999,23,46,97,43,2,1,3,0,1,0,1,999,1
CCT,8393726915,Melissa García,22081964,77,93,99,45,1,1,2,0,0,0,1,444,1
TI,5603634554,David Rodríguez,26021929,29,6,51,38,5,1,3,1,0,0,1,699,0
DCU,5213958498,Luis Castaneda,26021911,83,3,59,62,3,1,6,1,0,1,1,619,0
TI DUP,0838279265,Luis Hurtado,21071974,45,69,79,27,6,0,5,1,0,1,1,402,1
NIP,5689321817,Juan Hurtado,17091931,9,92,71,20,4,0,4,0,1,0,1,209,0
AFIS,0635764504,Daniela López,19091940,7,4,88,35,6,1,4,0,1,1,0,948,1
EIS,2537609745,Miguel Cifuentes,10111969,7,95,1,46,1,0,5,0,0,1,0,434,1
CC DIG,3753765789,María Castaneda,24081926,67,82,25,74,2,1,3,0,1,1,1,375,1
CC REN,3513115028,Laura Martínez,17122007,46,2,84,38,5,1,4,1,0,0,1,136,1
CCT,1795651043,Ana García,17071927,31,70,5,17,6,1,6,0,0,0,1,880,1
TI DUP,9748170602,Miguel Murillo,22112007,3,43,3,77,6,0,5,0,1,0,0,682,0
NUIP,8200949567,Melissa Cartagena,11011987,3,99,6,39,5,0,1,0,0,0,1,757,0
NIP,9769363871,Juan Cartagena,05022017,29,3,27,92,4,1,6,0,0,1,1,918,0
AFIS,2459772806,Laura González,23101950,35,51,61,92,6,1,3,0,1,0,0,613,0
AFIS,7984879122,Luis Hernández,04101933,68,60,25,65,2,1,6,1,1,1,0,241,0
CC REC,3552953271,David García,19071990,69,25,16,51,5,1,4,1,1,0,0,951,1
CC,8501751792,Manuela Castaneda,13061967,3,76,5,24,5,1,4,1,0,1,1,96,0
HLED-WEB,2473940691,Sofía González,05101971,96,88,68,79,6,1,3,1,0,0,1,378,0
TI REC,8230387221,Melissa Perez,01082001,21,64,11,9,2,1,3,1,0,0,0,173,1
NUIP,3752203989,Manuela Rodríguez,17061932,94,23,84,85,4,1,4,0,1,1,0,966,0
ANI,0460697724,Ana Hurtado,24021982,76,82,80,33,4,0,5,0,0,0,0,90,1
CC,0972583055,Sofía Castaneda,26121925,70,92,25,42,4,1,5,0,0,0,1,345,1
TI REC,3942512406,David García,25111975,2,37,93,1,5,0,3,1,0,0,1,551,1
SIC,1705997813,Ana Cartagena,18061925,54,51,85,28,4,0,5,1,1,1,0,836,1
TI DUP,4533224130,Laura González,07071983,95,99,71,41,4,0,1,0,0,0,1,693,1
CC REN,3755253006,Melissa Murillo,22031955,41,42,67,31,3,1,6,1,1,0,1,737,1
HLED-WEB,4012442885,Sofía González,19101979,18,66,25,1,3,1,1,0,1,0,0,245,0
SITAC,2136185727,Laura Hernández,08101944,47,59,27,44,1,1,6,1,1,1,1,444,1
CC PV,4541682681,Sofía González,06111933,30,86,85,65,6,1,3,1,1,0,0,200,1
MTR,2913525795,Ana Martínez,17011928,52,42,59,70,4,1,5,1,1,1,0,218,1
CC DIG,7935394971,María Rodríguez,02121953,98,16,61,43,4,0,6,1,0,0,1,82,0
DCU,7632188026,Marcela Rodríguez,25061992,55,65,30,1,2,0,2,1,1,0,0,862,0
TI DUP,5165630693,Carlos González,27071953,22,24,26,41,5,0,3,0,0,1,0,889,0
CC,8836535222,María Castaneda,05051945,21,15,60,91,3,1,1,1,0,0,0,560,1
MTR,3552182497,Miguel López,02022002,98,34,39,47,2,0,1,0,0,0,1,429,1
CC,6318745038,Melissa Cifuentes,20121998,69,75,20,33,6,0,4,0,0,1,1,503,1
TI,4093166151,Marcela García,14092003,31,45,100,35,2,1,1,1,1,0,1,257,1
TI REN,3562162199,Luis Martínez,27041994,50,79,35,86,5,0,3,0,0,1,0,650,0
DCU,8110811279,Luis Castaneda,22101939,69,20,27,44,6,0,6,1,0,1,1,546,1
HLED-WEB,1801892741,Ana González,20121952,16,78,63,100,3,0,3,1,1,1,1,398,0
TI DUP,9242009262,David Hernández,01091926,30,64,13,96,5,0,3,1,1,1,0,178,1
SIC,1955361412,Marcela Hurtado,04021950,9,74,50,83,4,0,1,1,0,1,0,44,1
