tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,fondoOrigen,prePensionado,institucionPublica,condecoracion,hijosInpec,familiaPolicia,observacionDisciplinaria,numeroSemanas,declaraRenta
CC DUP,9886669652,Gabriela López,24021994,66,79,37,27,3,0,5,1,1,0,0,295,0
CCT,3038109492,Juan González,02071976,77,7,2,25,3,1,1,1,0,1,1,763,0
CC,5812718998,María González,21071956,65,53,96,51,4,0,6,1,1,0,0,542,1
TI REC,1301140396,Manuela López,04121952,58,25,64,40,1,0,6,1,1,0,1,586,0
TI PV,3655103152,Daniela Hernández,27082006,88,57,41,99,1,0,6,0,1,0,1,508,1
CC REN,1346652497,Carlos López,22011960,54,6,62,75,3,0,3,0,0,0,1,595,0
AFIS,7510012372,Laura Cartagena,17031944,31,11,4,9,5,1,3,1,1,0,1,1000,1
NUIP,4424376313,Sofía Hernández,25081960,94,27,62,94,5,1,1,1,1,0,1,133,1
SITAC,2456209731,David Murillo,07101989,98,1,64,23,5,1,1,1,0,1,1,250,0
CC PV,9463717481,Gabriela García,26121981,30,89,71,4,6,1,1,1,0,1,1,571,1
TI PV,6074008036,Daniela Murillo,02072019,10,62,49,70,5,0,2,0,0,1,0,691,1
TI REN,6312580865,Daniela López,23121928,41,47,95,89,5,1,3,1,1,1,1,730,0
CC REN,3429677250,Carlos Rodríguez,26101967,69,20,94,4,1,1,5,0,0,1,1,146,1
ANI,5555359124,Juan Rodríguez,16071958,81,43,73,60,6,1,3,0,0,1,1,795,1
DCU,9037831560,Marcela Cifuentes,27071964,5,71,18,50,6,0,1,0,1,1,1,402,0
CCT,3827302643,Marcela Murillo,22011960,88,66,13,58,5,1,6,0,0,1,0,134,0
CC REC,0025856360,Manuela López,18011945,28,17,79,41,5,1,4,0,1,0,0,186,0
SITAC,7609213740,Laura Hurtado,03121963,96,85,77,20,5,0,1,0,1,1,1,889,0
NIP,9546295413,Laura Castaneda,06061947,63,89,80,79,2,1,5,0,1,0,0,425,1
DCU,9396118236,Gabriela Martínez,25031940,7,94,93,35,6,0,5,1,1,0,0,432,0
MTR,8693522741,Ana Martínez,24061930,92,48,80,58,2,1,2,1,0,1,0,949,0
CC REC,6410115812,Marcela González,05121989,6,19,23,26,5,1,3,0,1,0,1,777,0
NUIP,6100476520,María García,15091940,91,37,72,20,6,1,6,1,0,0,1,108,0
SITAC,1604805850,David Cartagena,11061990,19,53,26,15,2,0,5,1,1,1,0,389,0
SITAC,0334186696,Carlos Hurtado,20011934,4,1,28,66,3,0,3,0,0,1,0,394,1
CC REN,4555442321,Luis González,19071964,21,59,20,35,2,0,5,1,0,1,1,424,1
SIC,8639535894,Carlos Murillo,25091980,36,18,90,72,4,1,3,0,1,1,0,742,0
AFIS,0717403794,Marcela López,08101931,26,100,66,84,4,1,2,1,1,0,1,364,0
TI PV,7703571981,David Cartagena,20021985,24,56,97,51,4,1,1,0,0,1,0,236,1
CCT,9062550365,Melissa Castaneda,09091994,48,70,82,66,5,1,6,0,1,1,1,523,0
ANI,8245808670,Ana Murillo,06081906,49,71,73,38,4,1,6,0,0,0,1,587,0
ANI,5908966742,David Murillo,24031960,77,20,49,44,2,1,1,0,0,0,0,876,0
AFIS,8679613054,Sofía Hurtado,14012002,79,36,40,31,3,1,4,0,1,0,0,54,1
CC REC,7677903129,Marcela Cartagena,25031924,65,52,69,21,4,1,6,0,0,1,1,766,1
AFIS,4423200782,Daniela Cifuentes,13091969,96,89,42,75,1,1,3,0,0,1,1,322,0
CC DIG,9302375058,David Cartagena,18062001,56,7,50,26,1,1,5,0,0,1,0,445,0
CC DUP,6070692491,Luis Cifuentes,01061940,77,1,60,16,2,0,3,1,1,0,1,560,1
CC DIG,2807304260,Daniela Hurtado,14092000,69,35,82,23,1,1,1,0,0,1,0,32,0
ANI,2634737409,Ana Hurtado,10011995,73,82,40,98,4,1,5,1,1,1,1,163,1
MTR,6065003144,María Hernández,12011963,97,46,4,20,2,1,6,1,1,0,0,202,1
TI PV,3657655099,Miguel Cifuentes,08111909,3,27,24,84,5,0,4,0,0,1,0,691,0
CC REC,6251391122,Sofía Murillo,05051959,20,64,50,87,3,0,6,1,1,1,1,59,1
HLED-WEB,7148667332,Melissa Rodríguez,17091937,90,67,44,20,1,1,1,0,0,1,1,385,1
MTR,1570634728,Luis López,19021949,72,88,14,93,2,1,5,0,0,0,1,133,0
ABIS,2776274032,Sofía Hurtado,14092005,26,61,88,72,6,1,2,0,0,1,1,573,1
TI REN,3241116790,Carlos Murillo,27091990,68,85,17,32,2,0,6,0,1,0,0,512,0
ANI,1332968067,Sofía López,20011955,41,25,94,28,4,0,3,1,0,1,0,220,0
CC REC,8500970296,Miguel Martínez,10121936,88,23,12,35,4,1,3,0,1,1,1,84,0
CC REC,4375756256,Daniela Martínez,19121967,74,11,73,40,6,0,3,0,0,0,1,387,1
TI REN,1645738564,Sofía Hurtado,18011960,81,55,89,86,2,0,3,1,1,0,1,24,0
NUIP,1500999184,Marcela Cifuentes,27052010,85,13,20,26,6,1,1,1,0,1,0,911,0
SIC,8534626713,María Murillo,16111949,64,3,75,22,6,0,3,0,1,1,1,849,0
CC REC,6689736983,Daniela Cartagena,10071994,4,49,93,77,6,1,1,1,1,0,1,664,1
CC DUP,0144465799,Sofía Castaneda,15041968,39,56,35,2,1,0,4,1,1,0,1,694,1
TI REN,0371078260,Melissa Hernández,06081968,51,98,68,25,2,0,3,1,1,1,1,360,1
EIS,9817426537,Ana Hurtado,10021988,83,19,72,66,3,1,4,1,1,1,1,279,1
TI DUP,1934661635,Manuela Murillo,25081979,24,40,82,74,1,1,4,0,0,1,1,557,0
TI DUP,7699945505,Sofía Castaneda,06062005,52,63,1,88,4,1,4,0,0,1,1,17,0
TI REC,4934901411,Sofía Hernández,18071932,86,96,31,78,2,1,4,0,1,1,1,385,0
DCU,8118045378,Luis López,11061931,36,58,29,68,1,0,4,0,1,1,1,591,1
TI DUP,2650003192,Melissa Cifuentes,18101989,33,70,12,32,4,0,4,0,1,1,1,967,0
CC PV,4970991298,Marcela Perez,08031930,45,51,38,61,3,0,1,0,1,1,0,247,1
CC PV,3517611605,Luis Cartagena,17072006,3,87,4,35,3,1,2,1,0,0,0,379,1
ANI,0594791767,Sofía García,23062005,22,39,88,25,5,1,5,0,1,0,0,954,0
TI REC,8644501892,Gabriela Castaneda,28091980,64,35,11,33,1,1,2,1,0,1,0,24,1
AFIS,3307822043,Melissa Murillo,18031937,48,1,19,83,2,1,5,1,1,0,0,821,0
TI DUP,6717906694,Carlos Hernández,25091994,50,53,34,93,5,0,6,1,1,1,0,466,0
CC REN,5450140600,Gabriela González,12102002,41,53,61,67,3,1,1,0,0,1,1,256,0
CC PV,2717529340,David Hernández,26072009,35,87,2,4,4,0,6,1,0,0,1,356,1
TI REC,0258654272,Luis Murillo,11101945,85,26,11,88,2,1,3,1,1,0,0,155,1
CCT,4433076551,Melissa Cifuentes,12072013,93,77,72,59,1,0,4,0,1,0,1,338,1
NIP,0690229261,Melissa Hurtado,12011931,88,45,63,47,1,0,5,1,1,1,0,326,1
CC DIG,9223946467,Gabriela González,06081938,43,68,93,76,2,1,4,1,0,1,0,721,0
TI REC,3116664176,Laura López,08031997,62,77,97,47,1,1,6,1,1,0,0,91,1
TI REN,3423035568,Carlos López,02031958,66,98,48,30,4,0,6,0,0,0,0,692,1
TI PV,0125238457,Manuela Rodríguez,19031941,63,40,67,61,2,0,3,0,1,1,0,957,0
AFIS,0988290154,María Hernández,27081954,25,29,97,3,4,1,2,0,1,0,1,370,1
TI REN,7532100595,Gabriela Hernández,16051935,88,11,42,35,5,1,2,1,1,1,0,672,1
TI,8839287461,David García,06101999,1,65,32,38,3,0,6,0,0,0,1,796,0
SIC,9683432681,Sofía Cartagena,24121954,59,10,33,19,4,1,4,1,0,0,1,447,0
ABIS,4805551147,Sofía González,10052016,6,92,46,75,4,1,4,0,1,1,1,520,1
TI REN,1949810630,Marcela Cifuentes,15022003,35,48,54,10,5,0,4,1,1,1,1,693,0
TI,0784328014,Marcela López,27041929,5,23,94,18,5,1,3,0,1,1,1,978,0
